ticker,Open,High,Low,Close,Volume,Money,Change
095570,4000,4000,3900,3980,41999,165312760,0.76
006840,30500,32200,30500,31100,48438,1498361250,-0.16
027410,5750,5950,5720,5900,628775,3688461130,1.9
282330,166000,168000,161500,168000,37860,6201295500,1.2
138930,6390,6490,6190,6260,2501543,15841501900,-2.03
001460,359500,363000,358000,363000,442,159370000,-0.41
001465,157000,160000,156500,160000,128,20262500,0.0
001040,92000,92100,91100,91500,70744,6474132100,-0.97
079160,27950,28000,27400,28000,297960,8260643800,-0.88
00104K,71700,71700,70500,71200,7449,527792600,-0.84
000120,170500,170500,166500,167000,55587,9324657500,-2.05
011150,4325,4415,4310,4360,325546,1429611690,1.04
011155,33250,33300,32900,32900,523,17399750,-1.05
001045,54200,54200,53200,53400,2013,107795200,-1.66
097950,412000,412000,402500,410000,36414,14822349500,-1.2
097955,184500,184500,179500,183000,7070,1281174000,-1.61
000590,58000,59000,57800,58700,2934,171796100,0.51
012030,886,888,852,871,1260302,1091410097,-1.58
016610,5830,5830,5720,5800,96254,555675310,-0.85
005830,41950,43500,41950,43500,364946,15725311800,2.59
000990,52500,54300,51300,53600,1267242,66559193700,-0.56
000995,93800,95300,93500,95300,936,87993300,-1.65
139130,7580,7730,7450,7520,1580776,11971596060,-0.79
001530,148000,151000,143500,147000,62237,9112009000,-6.37
000210,79100,79800,77100,78300,341200,26650822800,-2.49
000215,40500,40500,39000,39600,4136,163242150,-1.86
375500,109000,110500,108000,109500,266673,29049269000,-1.79
37550K,68300,69000,67600,68200,14223,969966600,-0.87
004840,6930,7070,6900,7030,29008,202662770,0.43
155660,5390,5450,5280,5380,71453,381252250,-0.74
069730,5280,5540,5230,5460,406476,2188120140,2.25
017940,40400,41600,40400,40750,19480,797522500,1.12
365550,5850,5880,5810,5840,302684,1767868140,0.0
007700,136500,142500,134000,138000,85047,11683081500,-1.08
114090,16900,17500,16750,17250,1126600,19278803850,1.17
078930,39000,39450,38350,38550,451865,17491411500,-0.77
006360,35950,36150,35400,36000,549052,19664860950,-1.23
001250,2285,2285,2225,2275,414958,932936365,0.0
007070,37050,38000,36900,37350,374191,14007055500,-0.27
078935,31200,31300,31050,31150,5499,171322150,-0.16
012630,10800,10850,10700,10850,238040,2566227750,-0.91
039570,9580,9970,9490,9920,39037,379208670,3.33
089470,6170,6190,5950,6110,134022,810399370,-1.29
294870,26000,26150,25250,25800,489970,12547692850,-2.27
011200,20000,22450,19750,21950,22893847,490962066750,8.13
082740,6900,7150,6800,7120,694895,4841343370,2.01
003560,1890,2000,1885,1970,4670069,9126071710,3.96
175330,6060,6130,5960,6020,551962,3342645790,-0.66
234080,20150,20450,19800,20400,107054,2143204500,0.0
001060,29450,29450,28950,29200,33286,970984950,-1.02
001067,58700,58700,56200,58000,45,2608500,0.87
001065,29400,29400,28700,28750,660,19102250,0.17
096760,4940,4950,4850,4950,55030,269613680,0.61
105560,46350,47400,45950,47000,4056148,189710921200,2.62
002380,201000,202500,198000,201000,29781,5951734000,-0.99
009070,9130,9980,8700,9360,19824954,186597968340,10.12
009440,4250,4295,4140,4245,90841,381403935,-1.51
119650,8090,8160,7770,7970,232544,1838911460,-2.8
092220,2400,2405,2275,2370,3126172,7269900910,-2.87
016380,12150,12350,11800,12300,268953,3243398550,0.0
016385,99400,99400,98800,99300,160,15828500,-0.1
001390,25850,26200,25250,25850,247946,6361253050,-2.27
001940,14650,14950,14650,14900,10454,155249350,0.68
025000,61000,62000,60200,61000,7090,430622900,-1.29
092230,56000,57000,55000,55900,8023,449869300,-0.89
000040,1275,1345,1255,1325,3848751,5029103725,1.92
044450,10600,11250,10450,11150,499858,5480516250,4.21
030200,26050,26150,25700,26000,1152304,29893126850,-1.14
033780,79400,79800,78800,79700,442752,35168585100,0.38
030210,4320,4320,4180,4275,340546,1444489720,-2.17
058850,2870,3130,2835,3005,8137871,24596178285,2.39
058860,2775,2880,2720,2815,385076,1080580360,1.26
093050,15800,16200,15750,15950,90564,1442360550,-0.93
003550,90500,91500,89700,90800,387743,35107041200,-1.3
034220,22300,22650,21750,22500,3385112,75018848850,-0.88
001120,27300,27400,26800,27000,195413,5264027700,-1.82
051900,1490000,1511000,1470000,1511000,39195,58309578395,1.0
051905,703000,704000,699000,699000,5636,3947346960,-0.85
003555,65600,66500,65100,66000,13746,901571000,-0.15
032640,11750,11800,11550,11700,3101815,36204248450,-1.27
011070,205000,209000,202000,207500,204028,41825988500,-1.66
066570,142500,149500,142000,148500,1479199,215538781500,1.71
066575,68800,69900,67500,69600,232033,15891352100,-1.0
108670,73500,74000,72500,72600,49932,3653532700,-2.16
108675,33650,34650,33400,33800,4820,162506650,-1.46
037560,4565,4605,4505,4570,354326,1608744645,-1.08
051910,853000,922000,853000,904000,548940,489931500536,4.51
051915,390000,418500,388000,411000,53061,21456611500,2.75
079550,37100,37400,36400,36900,103486,3796634300,-1.73
006260,66800,66900,65200,66300,230977,15209791200,-2.64
010120,55500,55800,54400,55100,174125,9529764200,-1.96
000680,2680,2760,2660,2715,66543,179560050,-0.18
229640,7310,7590,7150,7400,261111,1935725160,1.51
023150,8050,8550,8000,8400,235793,1956542450,6.33
035420,386000,386500,371000,377500,1594386,599799491864,-3.58
181710,68700,68800,68000,68400,42312,2890414000,-0.87
005940,11150,11150,10850,11050,813615,8939156700,-1.78
005945,8550,8560,8480,8530,60037,511270310,-0.35
338100,4215,4215,4195,4215,24348,102331470,0.12
034310,17500,17700,17300,17450,45435,794945050,0.0
008260,3465,3580,3405,3575,732319,2571677170,2.44
004250,4240,4270,4125,4165,672568,2820828050,-2.69
004255,2440,2485,2440,2475,2766,6797715,0.61
010060,126000,138500,123000,137500,1004283,132388714500,8.27
005490,299500,318500,299500,314500,906590,281259025500,1.78
100840,16200,16200,15850,16100,21111,337175750,-0.62
064960,63200,64200,61600,63100,50058,3131595100,-2.02
003570,7450,7520,7280,7480,62961,463762120,-0.27
036530,17950,18300,17950,18150,20557,371966500,0.28
010950,88100,89400,86700,86800,695646,60980253200,0.23
010955,48850,48850,47200,47550,16641,794542900,0.96
034120,22600,23200,22400,23150,89564,2047722800,0.87
101060,1925,1985,1925,1970,166038,326275410,2.34
005090,38450,39500,37600,38900,102451,3929948700,1.97
004060,710,710,692,699,1507474,1056045328,-1.55
001380,2480,2620,2455,2550,501474,1282401760,0.39
002360,976,1115,946,946,56702273,58869972183,0.21
009160,3350,3440,3300,3355,217923,729242145,-0.74
123700,4100,4100,4045,4085,25385,103165285,0.0
025530,3515,3535,3505,3535,4483,15759105,0.28
034730,267500,270000,261000,265500,448632,118586180000,-2.75
011790,115500,117000,112000,114000,398414,45307652500,-3.39
018670,95100,96100,93500,95500,11936,1132372700,0.32
001740,5440,5470,5310,5360,846678,4548199570,-2.55
001745,106500,106500,105000,105000,136,14380000,-1.41
006120,58900,60400,58400,59800,125834,7476720700,-0.83
006125,49050,50000,48500,49900,14275,706840750,0.81
210980,36300,36600,35600,36400,37172,1338098850,-0.82
068400,11100,11250,10700,10950,218948,2386196900,-2.67
326030,110000,111000,105000,109500,760269,82148565500,-0.9
03473K,242500,246000,239500,241000,5913,1424216000,-2.63
096770,259000,265500,247500,252000,1331646,337684793000,-4.55
096775,188500,191000,181000,184000,24085,4452907500,-3.66
001510,849,852,839,852,2547819,2152950427,-0.47
001515,4600,4600,4530,4540,22767,103481840,-1.41
285130,308000,322000,303500,315000,415749,129766551000,-0.16
28513K,153000,161500,151000,160000,44688,6999924500,2.56
017670,245000,246000,242500,244000,266394,64965441500,-1.01
000660,138000,141500,136500,140000,6091444,844271259500,-1.41
005610,72100,72100,70800,71600,8389,597950000,-0.83
011810,5440,5700,5440,5560,53915,300414550,3.15
077970,6700,6700,6540,6640,9474,62753380,-0.75
071970,3255,3355,3125,3290,114966,371753605,1.08
084870,1680,1695,1670,1680,31827,53423650,0.0
002710,4350,4350,4120,4210,293451,1229647680,-3.44
024070,3590,3590,3415,3495,116173,404919035,-3.05
037270,6230,6410,6220,6410,1491650,9435400500,2.89
000500,20650,20650,20050,20400,13134,265795400,-1.45
000860,24250,25750,24100,25300,117827,2959719150,4.33
035250,26100,26500,25600,26200,1803161,47019653550,0.38
011420,1510,1555,1500,1540,169928,258978900,0.33
002100,13250,13800,13100,13700,226820,3076050650,2.62
009450,49800,49800,48950,49700,48505,2389573850,-1.0
267290,18950,19050,18850,19000,12547,238103100,0.26
012320,34200,34200,33300,33800,3634,122080000,-0.88
000050,12600,12750,12500,12750,34415,434842800,0.79
214390,12500,12750,12250,12600,114828,1426501350,-1.18
012610,6710,6780,6600,6690,203679,1355222310,-1.33
009140,29500,30300,29150,30250,7020,208400850,1.85
013580,27600,27850,26700,27650,46796,1271680900,-0.72
012200,4570,4570,4450,4530,182999,824457295,-0.88
