ticker,Open,High,Low,Close,Volume,Money,Change
095570,5880,6150,5880,6010,197726,1193351140,1.86
006840,22500,22500,21450,21600,66573,1444158500,-4.0
027410,5790,5840,5740,5790,207429,1200930180,0.17
282330,151000,156500,150500,153500,31794,4893360500,0.0
138930,8780,8820,8710,8800,1151304,10115686420,1.27
001460,447500,447500,431000,431500,433,186975000,-0.35
001465,168500,173000,168500,173000,72,12394000,0.58
001040,88800,91200,88600,90600,63294,5716087600,1.8
079160,27200,27200,26100,26150,511835,13496992300,-4.21
00104K,76700,77500,75800,77300,9054,694169000,1.05
000120,135000,136000,133500,135000,28007,3773869000,0.0
011150,3800,3850,3780,3835,69632,265560375,0.66
011155,40000,40000,39450,39700,60,2381000,0.25
001045,59000,59200,58400,59000,831,48799600,0.17
097950,375500,392500,375000,383000,136621,52771506500,3.65
097955,188000,193500,188000,191500,5303,1013296500,2.68
000590,60800,61500,60700,60900,2515,153621000,0.0
012030,1070,1100,1020,1045,2709571,2841140065,-2.34
016610,7130,7220,7050,7130,471758,3362720070,0.85
005830,56100,56900,55700,55900,73241,4103045900,-0.18
000990,77300,78000,71900,73000,3252215,241291778400,-6.17
000995,109000,109000,104500,106000,627,66013000,-3.64
139130,9670,9720,9580,9700,522203,5054744180,1.46
001530,290500,296500,285000,294000,11304,3306885500,2.08
000210,61100,62000,60700,61100,60067,3674550400,-0.49
001880,27400,27900,27400,27500,15824,437279750,0.0
000215,38600,38600,37450,37700,1390,52241650,-0.26
375500,120500,121500,119000,120000,82058,9840757500,0.42
37550K,73600,73600,71700,72400,7693,555302600,-0.41
004840,5170,5180,5120,5150,13556,69673480,-0.19
155660,5820,5830,5700,5740,39196,225452670,-1.54
069730,4925,5020,4925,4955,59042,293208065,0.3
017940,48900,49350,48750,49350,8395,410997550,0.92
365550,6610,6660,6510,6580,703511,4635844520,-0.6
383220,881000,897000,876000,893000,37660,33510990000,0.56
007700,42000,43150,41500,42050,86219,3633299100,-0.83
114090,13550,13550,13200,13300,449878,6006414750,-2.56
078930,40400,40650,40200,40500,127830,5169484150,0.75
006360,39650,40050,39100,39500,330255,13033188500,-0.13
001250,2455,2465,2435,2465,171462,419678825,0.61
007070,32150,32400,32050,32100,157750,5072292150,-0.62
078935,36650,36800,36400,36550,2726,99675050,0.0
012630,10250,10250,10100,10250,75944,772631250,0.0
039570,11950,12100,11900,12000,2305,27591600,0.42
089470,6120,6200,6000,6170,216073,1313551270,0.16
294870,23200,23500,23150,23350,116406,2714019400,0.0
011200,25050,25300,24400,25000,3683016,91336260250,-0.4
082740,8120,8140,7870,7910,344695,2734799810,-2.22
003560,1830,1835,1705,1710,9988705,17521707315,4.27
