ticker,Open,High,Low,Close,Volume,Money,Change
095570,6700,6760,6100,6190,3338818,20715154010,-8.84
006840,28900,28950,28500,28500,17589,503255100,-1.38
027410,6260,6300,6230,6290,82738,518727440,0.96
282330,166000,169000,165500,168500,33824,5645864000,0.3
138930,7630,7650,7500,7550,1117918,8458006290,-0.53
001460,393500,397000,388000,396500,587,230339500,0.38
001465,180000,181000,178000,181000,264,47385500,1.12
001040,101000,102000,100500,101000,37407,3788797500,0.0
079160,29850,29900,29400,29800,204417,6057141950,-0.17
00104K,86500,86500,85700,86000,1492,128352400,-0.12
000120,183500,184500,181500,183000,29164,5337547500,-0.27
011150,4810,4845,4785,4815,313418,1505110050,-0.1
011155,42750,42750,42200,42750,335,14211800,0.0
001045,64500,64700,64300,64400,840,54105100,0.0
097950,469500,474500,463000,470000,26829,12601554000,0.11
097955,216000,216000,210000,211500,8083,1716773500,-1.4
000590,67600,68900,67600,67700,1983,134358200,0.15
012030,1225,1245,1215,1225,1647080,2023868985,-0.41
016610,6990,7000,6900,7000,122098,852009750,0.72
005830,56700,56700,55700,56000,95513,5357581600,-0.88
000990,66400,66500,64400,65200,939115,61172163400,-1.66
000995,118000,120000,118000,119000,430,51239000,0.42
139130,8970,9050,8920,9040,447149,4027270850,0.89
001530,242000,251000,241500,245000,37048,9100956500,0.0
000210,79300,79500,78500,79500,73733,5821830700,0.51
001880,34750,34950,34650,34650,24390,847969700,-0.72
000215,46400,46400,45700,45750,1115,51070700,0.11
375500,151000,152000,148500,150000,100428,15045025500,-0.33
37550K,81400,81700,80800,81100,9156,744283400,-0.12
004840,7490,7490,7360,7420,26806,198559290,-0.67
155660,6550,6640,6450,6640,91927,600948060,1.84
069730,6270,6300,6200,6300,52399,327643750,0.48
017940,55500,55500,55000,55200,5921,326674300,-0.54
365550,7150,7220,7030,7110,139523,989641490,-0.56
383220,604000,626000,599000,614000,40484,24936070000,2.5
007700,37500,38150,37400,38050,57618,2182190150,1.6
114090,16200,16300,16000,16150,210602,3391290450,-0.92
078930,43750,44050,43550,43750,105893,4641204600,0.0
006360,44350,44600,43800,44200,462752,20475218100,-0.23
001250,2800,2815,2780,2800,181170,507032900,0.0
007070,35550,35750,35300,35550,242584,8611862850,-0.14
078935,36950,37000,36750,36850,1706,62847400,0.27
012630,12650,12800,12550,12650,275672,3491684600,0.0
039570,13450,13750,13400,13550,42856,582525000,0.74
089470,5940,5960,5840,5900,96114,566470180,-0.67
294870,31150,31450,30950,31050,323740,10093735450,-0.96
011200,41950,42150,41300,41900,2820670,117607950350,0.0
082740,8970,9000,8890,8900,430925,3844513760,-0.89
003560,1965,1970,1920,1950,2587135,5017042840,0.26
175330,7320,7360,7250,7350,377458,2763996270,1.1
234080,18650,19050,18650,18850,67641,1276587450,0.0
001060,29000,29450,28950,29200,27283,797996300,0.34
001067,67600,69100,67300,68100,232,15880800,0.15
001065,44500,45000,44500,45000,251,11233950,1.24
096760,4565,4590,4550,4565,54847,250367065,-0.22
105560,51900,52500,51300,52200,1366442,71203124400,0.77
002380,322000,340000,318500,336000,79800,26529428000,5.0
344820,64800,64900,64000,64300,58449,3754798000,-0.16
009070,8210,8340,8180,8230,528302,4348307440,0.24
009440,6300,6320,6120,6280,418473,2606459300,0.96
119650,8860,8890,8540,8790,378525,3298031190,-0.34
092220,2365,2420,2360,2390,1059718,2526836385,1.49
016380,16500,16850,16250,16600,355958,5928988500,0.61
016385,133500,133500,131000,131000,143,18772000,-1.5
001390,34700,35050,34300,34450,131877,4561368050,-0.72
033180,3250,3345,3245,3320,770104,2546778915,2.15
001940,20800,20900,20650,20800,20377,423567950,0.24
025000,64100,64800,64100,64700,3343,215131100,1.09
092230,68700,69200,68200,68400,2025,139052100,-0.44
000040,1300,1310,1275,1275,687472,884421065,-1.54
044450,12400,12400,12200,12300,67641,829178600,0.41
030200,35100,35200,34300,34700,1561907,54287541800,-0.57
033780,82700,83200,82700,82900,226455,18771153800,0.0
030210,8000,8180,7920,8000,488847,3934004950,0.0
058850,3145,3195,3130,3170,262840,830537120,0.96
058860,2950,2975,2935,2975,130929,387265250,0.85
093050,18750,18800,18550,18750,58250,1087668300,0.0
003550,97800,98500,97400,97800,207660,20332704100,0.0
034220,22700,22900,22650,22700,1372951,31226587800,0.0
051900,1591000,1592000,1527000,1527000,166903,257116314500,-6.15
051905,749000,749000,708000,714000,14834,10621594000,-5.18
003555,74000,74400,73600,74000,11018,813889900,-0.13
032640,15100,15100,14900,14950,930520,13960256050,-1.32
011070,234500,236000,231000,233000,93681,21851606000,-0.64
066570,164500,167500,164000,166500,1191816,197984968000,1.52
066575,77500,77800,76900,77500,73559,5687076900,0.91
037560,7720,7840,7650,7710,678523,5243816050,0.0
051910,835000,835000,820000,828000,149803,123926942000,0.24
051915,381000,381000,377500,380000,9619,3641103000,-0.26
079550,44100,44650,43600,43900,216069,9531311400,0.8
006260,71200,72500,71100,71200,135556,9726640900,0.0
010120,62700,64200,62700,63800,172566,10980523000,1.11
000680,4365,4800,4365,4420,2977861,13738077645,0.45
229640,9200,9200,9050,9120,331598,3020015290,-0.22
001120,30400,31850,30400,31550,555993,17517778950,3.78
108670,101500,101500,99900,99900,41300,4142799200,-1.09
108675,44700,44700,43800,44300,4000,176024600,-0.34
383800,10750,10850,10700,10750,353043,3805966600,0.0
38380K,18050,18050,17900,18000,7913,142000600,0.28
023150,12050,12100,11850,12000,63404,757767550,0.0
035420,443500,454500,441000,452000,1094026,493135371500,2.73
181710,81900,82500,80200,80500,74478,6020326700,-1.59
005940,12800,13050,12700,13000,1445505,18724275850,2.36
005945,11400,11550,11400,11500,153198,1755148250,0.88
338100,4950,4950,4910,4950,35776,176551065,0.0
034310,18900,19100,18700,18750,79726,1495296950,-1.06
008260,5100,5260,5060,5180,212785,1102359570,1.77
004250,5780,6000,5760,5960,2076220,12641255180,2.05
004255,3230,3270,3230,3255,53927,184206280,0.77
010060,119000,119500,117500,119500,197033,23389284500,0.42
