ticker,Open,High,Low,Close,Volume,Money,Change
004565,127500,127500,117000,123500,21604,2640914000,-11.47
004310,7200,7200,6820,6840,667636,4655067670,-3.8
322000,33900,34350,33550,33900,57375,1946541900,0.15
017800,46250,46350,45150,45300,381648,17428126050,-2.05
307950,104000,106500,102000,103500,78739,8152874500,-0.48
011210,69400,69900,67800,69600,248070,17029653500,0.29
267260,22200,22450,21200,22050,1452803,31799261050,0.68
004020,59100,59500,55000,55500,2681652,151718441900,-4.97
267250,69400,72700,69400,70400,908804,65141918900,2.18
005380,216000,216500,211000,212000,1168115,248343193000,-2.53
005387,106000,107500,104500,106000,153447,16274823500,-0.93
005389,100500,100500,99300,100000,28600,2856743200,-0.5
005385,108500,109000,106000,106500,122631,13210150688,-2.74
001500,14000,14500,13900,14150,640230,9120854850,1.8
011760,21850,22700,21300,21500,766605,16906066750,0.47
227840,15100,15350,14800,14950,158530,2387783550,-0.33
126560,4630,4665,4510,4540,373129,1705722305,-1.94
001450,24750,24850,24250,24350,631250,15473752100,-1.22
057050,79200,80000,78100,78800,33565,2643069400,-1.25
093240,4720,4795,4500,4550,371908,1717828370,-3.4
003010,7490,7630,7420,7450,304003,2285698890,-0.67
111110,13350,13450,12450,12850,126653,1628779550,-3.38
008770,88900,91100,85500,86500,2865487,255349213900,-2.37
008775,92400,99500,92400,93600,202554,19481386800,-0.32
002460,13250,13300,13000,13100,68988,905388050,-0.38
378850,6700,6860,6350,6390,576820,3787851100,-5.33
241590,17450,18950,17250,18450,1019315,18676884600,7.27
006060,7880,8210,7840,8110,913936,7409389420,3.84
013520,2145,2240,2070,2105,3267872,6950218725,-3.0
010690,4900,4900,4735,4835,260841,1250399120,-1.33
133820,2915,3545,2890,3340,17314275,57490426390,13.03
010660,2710,2730,2605,2650,165162,440290860,-2.21
000850,38500,39000,38050,38900,28824,1111716350,1.04
016580,21300,21450,20700,20950,183931,3867830700,-0.48
032560,9980,10800,9550,9630,1743469,17382849620,1.8
004800,100500,102000,98100,99400,107919,10774132200,-1.09
094280,19900,20000,19550,19700,24406,480558150,0.25
298040,72000,72400,70000,70100,80132,5656482500,-2.5
298050,387000,393500,371000,383000,99958,38058153500,-0.78
298020,688000,729000,680000,723000,122911,88004499000,3.58
298000,410000,417500,393500,405000,112741,45577987500,-2.06
093370,10400,10450,10100,10300,720650,7367862200,-0.48
081660,45950,46900,45550,45600,527972,24400837450,-0.22
005870,8210,8430,8150,8420,205827,1711372270,3.19
079980,10950,11000,10500,10550,289331,3080141400,-2.76
005010,17350,18100,15950,16250,723425,12258442000,-5.8
069260,21800,21900,21550,21750,196963,4269144400,-0.46
000540,4645,4720,4440,4470,435074,1974625110,-3.66
000547,34150,37500,30250,32750,83155,2820480850,13.52
000545,11350,12350,10600,11200,105566,1203469550,2.75
003280,0,0,0,258,0,0,0.0
060310,2860,2900,2790,2835,230656,653090680,-1.39
054620,12000,12250,11450,12050,147102,1754375450,0.42
265520,28650,28750,28150,28300,180814,5126833850,-0.88
211270,14300,14550,13900,13950,111957,1581730600,-2.45
035760,141800,146700,140800,144000,202809,29335607800,2.13
051500,24200,24300,23650,23950,66615,1596026800,1.48
058820,4440,4475,4355,4355,1149454,5053744750,-1.91
023460,3610,3650,3565,3575,118380,425313535,-2.05
056000,0,0,0,2860,0,0,0.0
065770,7190,7290,6130,6500,3240653,21296087320,-9.34
083660,2450,2450,2325,2450,1332609,3263748265,29.97
367340,2145,2145,2080,2145,63,134415,-0.23
367360,2075,2090,2075,2090,19627,40884155,0.48
068790,8510,8600,8360,8580,264479,2240218950,0.94
241520,6110,6180,5910,5960,675943,4061520470,-1.97
245620,5520,5530,5160,5230,2925219,15623710700,-6.94
037370,10850,10950,10650,10700,61687,665522850,-2.28
079190,0,0,0,2780,0,0,0.0
050120,5800,5960,5510,5590,164542,946924160,-2.95
130500,7180,7190,6830,6890,670387,4649277720,-3.5
900290,0,0,0,951,0,0,0.0
083450,25400,26550,25150,26000,218210,5690516900,2.16
028150,148300,149400,147000,148700,25925,3839177900,0.34
045890,0,0,0,240,0,0,0.0
078150,3390,3415,3235,3335,1652607,5490480540,-1.04
036640,6020,6060,5740,5880,247610,1461958420,-2.33
335870,2205,2230,2200,2215,14471,32052545,0.45
351340,2165,2175,2160,2175,850,1840250,0.46
351320,2200,2375,2190,2280,111895,254072090,3.64
373200,2165,2185,2145,2185,982,2128730,0.92
095340,22700,23000,22100,22750,247324,5543806700,0.66
099520,0,0,0,1285,0,0,0.0
950170,4930,5100,4800,5000,114920,570222285,2.46
067290,5170,5250,5080,5140,224300,1154484040,-0.77
035900,33400,33500,32500,32900,356831,11698065800,-1.35
024840,2600,2610,2450,2470,1056797,2651978240,-4.45
024120,9560,9750,9160,9400,58158,545278120,0.0
021320,11150,11300,10700,10800,110905,1209637250,-4.0
036670,9780,9780,9570,9570,36979,356754460,-1.03
044180,2170,2175,2005,2030,718853,1487550455,-6.45
151860,7050,7160,6660,6700,1455428,9986201170,-3.87
046440,11200,11300,10800,10850,524936,5743444850,-3.13
035600,20100,20250,19750,20000,149392,2982234000,-0.25
226360,2050,2060,1895,1940,1059782,2079098640,-5.37
111870,1185,1205,1165,1180,582643,687909305,-1.26
060720,22100,22250,20750,21150,517092,11015155200,-4.51
122450,11500,11650,11300,11550,235150,2691618400,1.32
052900,1975,2010,1960,1970,530956,1049235230,0.51
058400,1885,1910,1860,1880,982053,1845997140,-0.53
114450,12600,13800,12450,12550,7402502,98026014350,-1.18
036030,12250,12750,12100,12400,1968959,24498498550,1.64
060370,6220,6280,6150,6230,204153,1269766220,0.16
065150,0,0,0,895,0,0,0.0
160550,14500,15100,11800,12150,6093074,80655142050,-8.3
053290,18100,18950,16950,18550,1186329,21183364450,1.92
104200,6110,6230,6050,6220,24933,153199760,1.97
060250,51300,51900,50100,51000,150166,7610912100,-1.16
030190,22450,22500,21600,21900,339510,7436778450,-3.1
078590,0,0,0,3890,0,0,0.0
178920,49000,49200,47500,48100,278506,13431217900,-1.54
024940,9110,9720,8820,9240,1457572,13420611670,-0.11
218410,39500,42300,39250,40650,1066143,43343573900,-2.28
327260,36250,38450,33000,34000,234802,8208041700,-4.76
091340,5460,5550,5400,5400,75627,413605720,-1.1
019550,2110,2185,2080,2120,4859912,10343368490,0.24
950110,9070,9470,9040,9090,89891,825938210,-0.55
046140,7350,9240,7180,8140,5281320,44260766690,10.6
036120,4190,4290,4155,4290,204514,866305830,3.25
099220,2955,2995,2875,2895,646188,1886270540,-2.03
036540,8040,8090,7900,7930,2329537,18567898980,-1.25
255220,2385,2385,2200,2220,1206955,2731338520,-6.13
040610,2785,2840,2635,2700,390738,1050142625,-2.7
049470,1015,1065,1000,1050,605639,627785575,3.45
184230,1400,1405,1345,1400,423292,583961510,0.0
016250,62800,62800,60600,62300,37282,2310643800,0.48
307070,2065,2080,2050,2060,25168,51953450,0.0
337450,2125,2125,2110,2120,204,432030,-0.47
340350,2105,2110,2105,2110,5117,10771535,0.24
036490,338200,339300,331200,336500,28140,9411890800,0.21
048550,1720,1745,1675,1695,521215,887040210,-2.02
063440,2940,3035,2825,2855,3391843,9889615180,-4.19
950180,21650,21800,20900,21000,120615,2568529050,-2.78
289080,4465,4540,4440,4445,554747,2476977440,-1.11
