Date,Open,High,Low,Close,Volume,Change
2012-07-05,16572,16590,16486,16563,13281,
2012-07-06,16599,16599,16320,16387,6603,-0.010626094306587
2012-07-09,16231,16258,16115,16179,6602,-0.0126929883444193
2012-07-10,16253,16272,16062,16111,6672,-0.0042029791705296
2012-07-11,16108,16129,15986,16077,6712,-0.0021103593817888
2012-07-12,16119,16129,15731,15736,6782,-0.0212104248305031
2012-07-13,15762,16044,15633,15979,6677,0.0154422979156074
2012-07-16,16028,16053,15903,16017,6660,0.0023781212841855
2012-07-17,15970,16219,15863,16067,6600,0.0031216832115876
2012-07-18,16111,16134,15770,15830,16700,-0.0147507313126283
2012-07-19,16108,16196,16032,16116,6600,0.0180669614655717
2012-07-20,16168,16176,16067,16111,6700,-0.0003102506825515
2012-07-23,15881,15881,15687,15794,7101,-0.0196759977655018
2012-07-24,15770,15863,15743,15854,6600,0.0037989109788527
2012-07-25,15505,15752,15505,15620,6780,-0.0147596820991547
2012-07-26,15651,15762,15558,15748,6380,0.0081946222791293
2012-07-27,16041,16227,16023,16227,6600,0.0304165608331217
2012-07-30,16448,16448,16372,16412,6600,0.011400751833363995
2012-07-31,16372,16963,16372,16914,6700,0.0305873750913965
2012-08-01,16679,16852,16652,16785,32700,-0.0076268180205746
2012-08-02,16825,16844,16612,16661,8995,-0.0073875484063151
2012-08-03,16438,16599,16391,16425,124605,-0.0141648160374527
2012-08-06,16808,16877,16753,16798,126655,0.0227092846270928
2012-08-07,16758,16804,16709,16764,6608,-0.0020240504822002
2012-08-08,16848,17096,16848,16939,5000,0.0104390360295871
2012-08-09,17020,17441,17020,17365,5000,0.0251490642895093
2012-08-10,17250,17366,17236,17325,25000,-0.0023034840195795
2012-08-13,17274,17331,17193,17197,69490,-0.0073881673881673
2012-08-14,17326,17473,17312,17458,5100,0.0151770657672849
2012-08-16,17423,17441,17322,17415,6000,-0.0024630541871921
2012-08-17,17530,17534,17290,17338,7201,-0.0044214757393051
2012-08-20,17340,17374,17240,17329,5000,-0.0005190910139577
2012-08-21,17406,17476,17290,17304,5000,-0.0014426683593975
2012-08-22,17188,17245,16967,17103,5000,-0.0116158113730929
2012-08-23,17117,17216,17020,17218,5001,0.0067239665555749
2012-08-24,17087,17087,16989,17029,6300,-0.0109768846555929
2012-08-27,16821,17037,16821,16976,15600,-0.0031123377767338
2012-08-28,16905,16967,16804,16874,5576,-0.0060084825636191
2012-08-29,17002,17052,16919,17048,5050,0.0103117221761288
2012-08-30,16993,16997,16709,16820,5001,-0.0133740028155795
2012-08-31,16758,16860,16753,16810,5000,-0.0005945303210463
2012-09-03,16723,16936,16572,16830,5000,0.0011897679952408
2012-09-04,16719,16780,16684,16749,5010,-0.0048128342245988
2012-09-05,16684,16693,16457,16461,5000,-0.0171950564212788
2012-09-06,16585,16620,16476,16549,5000,0.0053459692606767
2012-09-07,16848,17016,16821,17021,162090,0.0285213608072996
2012-09-10,17002,17037,16919,16922,62890,-0.0058163445155984
2012-09-11,16857,16905,16780,16855,31300,-0.0039593428672733
2012-09-12,17087,17245,17016,17218,41010,0.0215366360130524
2012-09-13,17240,17259,17101,17204,52246,-0.0008131025670810001
