Date,Open,High,Low,Close,Volume
2001-07-31,4500,5500,2770,3320,12809086
2001-08-31,3325,4400,3005,3550,13584824
2001-09-30,3630,4625,2335,3205,15204426
2001-10-31,3370,4435,2815,3840,25925134
2001-11-30,3805,4210,3400,3595,11569578
2001-12-31,3550,4600,3550,3900,7319222
2002-01-31,3950,4750,3860,4170,11129102
2002-02-28,4170,4525,3875,4300,8445156
2002-03-31,4370,6675,4325,6300,17462192
2002-04-30,6475,6850,4200,4990,6433864
2002-05-31,5050,6270,4510,5700,11411379
2002-06-30,5420,5600,3700,4370,5421025
2002-07-31,4210,4740,3320,3630,5723147
2002-08-31,3630,3820,3080,3400,3138397
2002-09-30,3410,3450,2020,2020,2214961
2002-10-31,1920,2470,1870,2190,6513061
2002-11-30,2150,2490,1900,2210,4899486
2002-12-31,2220,2760,1760,1820,8742622
2003-01-31,1840,2300,1770,1810,3473314
2003-02-28,1790,1970,1670,1680,3173568
2003-03-31,1680,1750,1230,1340,1494116
2003-04-30,1320,1990,1290,1790,5597900
2003-05-31,1840,2080,1670,1760,5305574
2003-06-30,1780,2100,1690,1820,6702970
2003-07-31,1820,1910,1480,1480,3638937
2003-08-31,1485,1550,1290,1320,1226037
2003-09-30,1385,1645,1230,1250,1664391
2003-10-31,1230,1350,1175,1200,1530510
2003-11-30,1230,1295,1085,1185,1948027
2003-12-31,1230,1370,1075,1125,1894363
2004-01-31,1135,1175,1030,1045,561531
2004-02-29,1030,1130,1010,1055,1112477
2004-03-31,1085,1110,915,990,643459
2004-04-30,990,1445,970,1205,3394574
2004-05-31,1170,1380,965,1075,2693809
2004-06-30,1065,1320,1065,1230,5057489
2004-07-31,1250,1405,1030,1050,5628532
2004-08-31,1050,1135,1000,1070,1300334
2004-09-30,1080,1650,1025,1205,13557764
2004-10-31,1205,1415,1110,1120,7963943
2004-11-30,1120,1290,1115,1220,4734058
2004-12-31,1220,1660,1190,1380,13118387
2005-01-31,1400,2170,1345,1950,13346889
2005-02-28,2010,2530,1785,2390,5402776
2005-03-31,2400,2540,1930,1960,2372643
2005-04-30,1990,2700,1840,2060,34382922
2005-05-31,2060,2135,1840,2045,8253839
2005-06-30,2065,2310,1900,1990,5044069
2005-07-31,1970,2370,1970,2085,6650854
2005-08-31,2070,2300,1770,2100,3137277
2005-09-30,2120,2275,2025,2180,3182984
2005-10-31,2210,2660,2190,2640,3255785
2005-11-30,2670,3235,2455,3120,3097411
2005-12-31,3020,3400,2835,2855,2417627
2006-01-31,2810,2880,2195,2625,2368916
2006-02-28,2580,2630,2290,2520,896156
2006-03-31,2520,2710,2390,2690,738112
2006-04-30,2695,2995,2670,2840,1240673
2006-05-31,2885,2890,2460,2535,725473
2006-06-30,2500,2700,2250,2540,326502
2006-07-31,2585,2780,2390,2560,456683
2006-08-31,2550,2750,2450,2730,497978
2006-09-30,2730,2830,2680,2770,377099
2006-10-31,2795,2930,2560,2920,478555
2006-11-30,2900,3080,2860,3065,584145
2006-12-31,3050,3230,2830,2875,2686565
2007-01-31,2860,2895,2510,2600,1233794
2007-02-28,2580,2790,2505,2655,976772
2007-03-31,2650,2890,2650,2880,1004802
2007-04-30,2880,3085,2690,2740,2404619
2007-05-31,2725,2925,2660,2855,1858645
2007-06-30,2855,3080,2765,2920,1342573
2007-07-31,2920,3030,2800,2870,994544
2007-08-31,2850,3085,2720,2990,1163184
2007-09-30,3040,3435,2950,3030,1661507
2007-10-31,3045,3090,2635,2750,933039
2007-11-30,2755,2780,2570,2765,893562
2007-12-31,2785,3090,2550,2620,2400927
2008-01-31,2590,2595,2250,2355,891837
2008-02-29,2370,2500,2360,2420,265537
2008-03-31,2410,2445,2305,2395,404843
2008-04-30,2410,2600,2370,2535,791932
2008-05-31,2550,2585,2445,2520,393465
2008-06-30,2520,2530,2355,2400,507344
2008-07-31,2405,2480,2110,2230,807225
2008-08-31,2230,2335,2190,2250,179265
2008-09-30,2270,2335,2180,2250,190051
2008-10-31,2250,2290,1275,1910,1209479
2008-11-30,1910,2090,1730,1945,1324930
2008-12-31,2030,2180,1735,1735,1225252
2009-01-31,1735,2200,1695,1745,2176783
2009-02-28,1760,1840,1570,1610,704984
2009-03-31,1610,1750,1495,1705,363285
2009-04-30,1730,1970,1700,1930,871169
2009-05-31,1700,2480,1655,2035,1502282
2009-06-30,2035,2365,1970,2000,1204447
2009-07-31,2000,2200,1970,2175,380029
2009-08-31,2235,2480,2165,2410,582493
2009-09-30,2400,2540,2060,2515,711218
2009-10-31,2490,2685,2445,2590,572239
2009-11-30,2595,2700,2420,2470,584121
2009-12-31,2470,2930,2450,2500,6199581
2010-01-31,2470,2525,2305,2335,1257522
2010-02-28,2365,2710,2300,2510,1032523
2010-03-31,2545,2800,2515,2570,612271
2010-04-30,2610,2695,2540,2645,432632
2010-05-31,2630,2650,2385,2500,519713
2010-06-30,2500,2590,2420,2575,279801
2010-07-31,2575,2640,2530,2570,294572
2010-08-31,2550,2740,2545,2700,450712
2010-09-30,2700,2735,2655,2720,341914
2010-10-31,2715,2930,2705,2890,577815
2010-11-30,2890,2925,2750,2780,616283
2010-12-31,2775,3155,2700,2725,5089925
2011-01-31,2730,2730,2565,2610,1409814
2011-02-28,2605,2690,2490,2500,691255
2011-03-31,2495,2600,2440,2575,751638
2011-04-30,2580,2665,2535,2565,703043
2011-05-31,2575,2620,2445,2465,938197
2011-06-30,2460,2505,2435,2470,494110
2011-07-31,2470,2530,2445,2510,776748
2011-08-31,2520,2525,2135,2220,1754144
2011-09-30,2225,2275,1905,1960,649664
2011-10-31,1915,2090,1810,2020,1227460
2011-11-30,2015,2190,1950,2040,1117126
2011-12-31,2080,2155,1845,1845,1131356
2012-01-31,1860,2000,1820,1910,954220
2012-02-29,1910,2195,1895,1995,2189758
2012-03-31,2005,2205,1965,2025,2162442
2012-04-30,2020,2100,1970,1990,641123
2012-05-31,2005,2050,1755,1790,454415
2012-06-30,1795,2370,1690,2115,6334432
2012-07-31,2115,2395,1900,1905,5151963
2012-08-31,1905,3135,1875,2740,50323589
2012-09-30,2800,2990,2260,2290,33539946
2012-10-31,2290,2695,1950,2020,10495185
2012-11-30,2030,2080,1640,1785,2842081
2012-12-31,1800,1950,1655,1795,3800625
2013-01-31,1795,2275,1765,1805,9518110
2013-02-28,1810,1920,1745,1885,2529153
2013-03-31,1890,2395,1860,2175,23516402
2013-04-30,2165,2320,1895,2210,12340883
2013-05-31,2320,2540,2145,2255,10378196
2013-06-30,2255,2395,1905,2035,3588824
