Date,Open,High,Low,Close,Volume
2001-04-30,20621,20621,17066,18204,5950350
2001-05-31,18345,27733,17990,26596,19039910
2001-06-30,26737,26880,22754,24604,6458730
2001-07-31,24533,24960,19911,20622,5853870
2001-08-31,20621,23964,20407,22756,7340760
2001-09-30,22754,23750,19200,19911,4168760
2001-10-31,20622,24604,19768,22756,5501190
2001-11-30,22542,31288,22327,30862,12597420
2001-12-31,31146,33065,28159,30933,8831490
2002-01-31,30932,46648,30434,42382,11505111
2002-02-28,42452,56888,39893,52907,8829926
2002-03-31,53617,64071,49493,62151,13203674
2002-04-30,61865,76088,52763,55609,25307103
2002-05-31,56177,60515,51625,56747,11596824
2002-06-30,56320,68906,53831,61867,11525438
2002-07-31,59306,72391,57741,61867,13339789
2002-08-31,60656,63146,53759,61867,11736716
2002-09-30,62007,64567,43875,46222,12230569
2002-10-31,45510,55679,39537,51769,12844435
2002-11-30,51199,63430,50345,62720,11093282
2002-12-31,62861,69902,57315,57742,7634684
2003-01-31,57741,68408,56319,61156,9149816
2003-02-28,62434,64283,52622,52622,8829511
2003-03-31,53616,60871,44444,54756,9452855
2003-04-30,53545,63288,52195,57316,9704294
2003-05-31,56888,67982,55466,63858,8471406
2003-06-30,65421,69191,63288,68267,6812676
2003-07-31,67982,69973,61367,66133,9375012
2003-08-31,65848,80782,65848,73529,8276570
2003-09-30,73954,74951,62363,65138,7031999
2003-10-31,62435,71110,60871,67556,11509323
2003-11-30,67554,74665,59804,66844,12453017
2003-12-31,66061,78506,63714,78222,12781689
2004-01-31,78791,91305,78222,84622,9826713
2004-02-29,82773,86897,75804,81778,8526772
2004-03-31,83341,86185,73955,76373,8602622
2004-04-30,76800,80212,65564,67413,10639907
2004-05-31,66274,67412,45155,63004,16905203
2004-06-30,62008,63217,47431,55609,12495135
2004-07-31,56176,57243,52053,55396,8041989
2004-08-31,54754,62576,50915,62293,9138603
2004-09-30,62151,65280,58808,62151,7442507
2004-10-31,61439,66487,57742,59591,8090228
2004-11-30,59519,63573,58879,61867,6283704
2004-12-31,62151,63857,56675,58667,6768633
2005-01-31,59376,60870,53831,55111,9438042
2005-02-28,54826,67840,54328,66844,11561584
2005-03-31,67982,69831,56746,58311,8238330
2005-04-30,57812,59733,52835,53831,6143659
2005-05-31,53901,55395,50844,52267,5885031
2005-06-30,52265,57600,52194,53760,6336397
2005-07-31,53404,58096,52835,54044,8107157
2005-08-31,54044,61083,53190,60160,11171463
2005-09-30,60444,66133,58951,63858,9010374
2005-10-31,62862,70471,62862,64996,8008380
2005-11-30,65279,76799,64923,74667,8239023
2005-12-31,73385,82915,71964,81067,5525481
2006-01-31,80070,84622,69403,76658,6036663
2006-02-28,74808,77510,68692,69902,8027736
2006-03-31,70399,70684,59306,62791,8626434
2006-04-30,62932,65137,56462,59164,13285347
2006-05-31,59163,59874,53261,54684,7500552
2006-06-30,54967,54967,42452,46933,8890932
2006-07-31,46719,51200,43163,48711,9804354
2006-08-31,48213,56533,48070,55680,7229415
2006-09-30,55750,58167,52195,53476,5731481
2006-10-31,53333,59590,52266,54684,7865853
2006-11-30,55324,61653,55324,61013,8326399
2006-12-31,60372,61581,57528,61298,5756152
2007-01-31,61582,66346,60016,62436,8220567
2007-02-28,63501,66133,59092,61867,5781902
2007-03-31,61723,69262,59234,67342,7240892
2007-04-30,67554,80071,67270,77511,9106863
2007-05-31,78647,98560,77936,97422,10003165
2007-06-30,96853,116622,90594,111076,9285752
2007-07-31,111360,135680,109937,132267,11238993
2007-08-31,130701,138951,103680,138951,10434698
2007-09-30,137527,151466,126435,136533,6413847
2007-10-31,137243,179910,137243,158578,13292679
2007-11-30,163554,196265,122168,139662,17904542
2007-12-31,142222,149333,122736,127431,9007562
2008-01-31,128000,128000,90026,110649,16420297
2008-02-29,112924,120887,105813,113778,12504478
2008-03-31,109368,115342,98986,105244,11573748
2008-04-30,105954,143644,102542,142222,17773338
2008-05-31,142222,157866,128710,139236,13261775
