Date,Open,High,Low,Close,Volume
2018-09-30,9927,10223,9596,9987,5770605
2018-10-31,10045,10045,8216,8673,13011743
2018-11-30,8745,9146,8113,8263,8240450
2018-12-31,8360,8528,7460,8055,11714929
2019-01-31,8137,8305,7307,8174,673697
2019-02-28,8162,8780,8162,8386,1069669
2019-03-31,8493,8518,7524,7738,1874990
2019-04-30,7737,8113,7628,7734,1180820
2019-05-31,7703,7847,6853,7103,1260716
2019-06-30,7062,7623,7032,7376,681265
2019-07-31,7484,8021,7132,7336,1391695
2019-08-31,7271,7409,6580,7341,1113470
2019-09-30,7236,7395,6624,6729,1171838
2019-10-31,6704,7182,6590,7117,1103751
2019-11-30,7122,7276,6803,6884,727737
2019-12-31,6883,7395,6545,7376,1007070
2020-01-31,7380,8141,7027,7749,4477889
2020-02-29,7539,9031,7494,7660,13802971
2020-03-31,7728,8265,4435,5973,15167901
2020-04-30,5928,7350,5684,7103,7954565
2020-05-31,6923,9147,6878,8623,14175456
2020-06-30,8677,10147,8677,9732,23554519
2020-07-31,9882,10572,9647,10352,20717858
2020-08-31,10487,13211,10482,12237,44194724
2020-09-30,12236,12571,10667,11517,24951281
2020-10-31,11516,11891,10142,10582,9015894
2020-11-30,10612,13201,10432,12976,26203764
2020-12-31,13011,14501,12901,14481,33009909
2021-01-31,14645,18259,14620,17190,60357106
2021-02-28,17105,18709,16625,16840,34771020
2021-03-31,17225,17370,15230,16425,14500913
2021-04-30,16650,18724,16645,18140,24096140
2021-05-31,18000,18280,16805,17090,9595041
2021-06-30,17050,18575,16955,18515,12488294
2021-07-31,18545,20495,18260,20150,47567244
2021-08-31,20150,21520,19475,20475,51482774
2021-09-30,20505,23825,19570,23690,73554286
2021-10-31,23555,24065,21205,22535,64145755
2021-11-30,22585,24890,21965,24690,48531033
