Date,Open,High,Low,Close,Volume,Change
2020-10-07,10100,10210,10060,10210,314145,
2020-10-08,10185,10200,10050,10145,542118,-0.0063663075416258
2020-10-12,10180,10190,9950,10050,1101040,-0.0093642188270083
2020-10-13,10095,10095,9935,10045,295432,-0.0004975124378109
2020-10-14,10055,10055,9875,9936,278881,-0.0108511697361871
2020-10-15,9955,9955,9580,9621,494766,-0.0317028985507246
2020-10-16,9585,9650,9455,9536,601234,-0.0088348404531753
2020-10-19,9655,9690,9515,9551,288479,0.0015729865771811
2020-10-20,9550,9690,9415,9691,507395,0.0146581509789551
2020-10-21,9685,9710,9555,9666,675271,-0.0025797131358993
2020-10-22,9660,9660,9460,9491,575942,-0.0181046968756466
2020-10-23,9530,9530,9375,9456,564557,-0.0036877041407649
2020-10-26,9365,9410,9260,9311,451397,-0.0153341793570219
2020-10-27,9265,9415,9220,9286,451881,-0.0026849962410052
2020-10-28,9250,9505,9240,9506,427463,0.0236915787206548
2020-10-29,9395,9545,9320,9546,353181,0.0042078687144961
2020-10-30,9525,9525,9140,9141,367230,-0.0424261470773098
2020-11-02,9180,9370,9135,9311,514925,0.0185975276227983
2020-11-03,9330,9410,9305,9371,531569,0.0064439909784126
2020-11-04,9395,9605,9385,9566,354965,0.0208088784548072
2020-11-05,9670,9745,9620,9691,443784,0.0130671126907797
2020-11-06,9745,9745,9550,9616,318289,-0.0077391394076978
2020-11-09,9695,9795,9695,9751,236135,0.014039101497503998
2020-11-10,9510,9530,9400,9471,165443,-0.0287150035893754
2020-11-11,9440,9510,9290,9501,213464,0.0031675641431738
2020-11-12,9500,9570,9435,9516,174122,0.0015787811809282
2020-11-13,9480,9555,9425,9551,159649,0.003678015973098
2020-11-16,9555,9585,9505,9536,159926,-0.0015705161763166
2020-11-17,9510,9510,9390,9496,155362,-0.0041946308724831
2020-11-18,9530,9750,9505,9696,160445,0.0210614995787699
2020-11-19,9685,9770,9560,9756,261569,0.006188118811880999
2020-11-20,9740,9850,9710,9821,154865,0.0066625666256663
2020-11-23,9865,9925,9820,9856,162507,0.0035637918745545
2020-11-24,9860,9860,9680,9741,217990,-0.0116680194805194
2020-11-25,9735,9735,9550,9591,224881,-0.0153988296889436
2020-11-26,9575,9705,9575,9706,144386,0.0119904076738608
2020-11-27,9700,9820,9700,9746,230390,0.0041211621677312
2020-11-30,9770,9770,9640,9641,66287,-0.010773650728504
2020-12-01,9695,9835,9695,9806,86803,0.0171144072191682
2020-12-02,9810,9835,9750,9806,89016,0.0
2020-12-03,10470,10535,10135,10395,586315,0.0600652661635732
2020-12-04,10490,10545,10210,10265,151745,-0.0125060125060124
2020-12-07,10285,10315,10085,10300,111826,0.0034096444227959995
2020-12-08,10300,10430,10240,10365,103927,0.0063106796116505
2020-12-09,10410,10425,10290,10335,120590,-0.0028943560057886
2020-12-10,10235,10440,10225,10415,50495,0.0077406869859699
2020-12-11,10420,10535,10395,10500,54387,0.0081613058089293
2020-12-14,10480,10755,10385,10655,86396,0.0147619047619047
2020-12-15,10655,10695,10400,10535,76276,-0.011262318160488
2020-12-16,10555,10790,10535,10765,95389,0.0218319886093971
2020-12-17,10770,10815,10635,10735,94895,-0.0027868091035764
2020-12-18,10730,10845,10710,10730,63955,-0.0004657661853749
2020-12-21,10715,10715,10520,10650,59347,-0.0074557315936626
2020-12-22,10595,10620,10395,10400,55177,-0.0234741784037558
2020-12-23,10440,10650,10440,10595,54210,0.01875
2020-12-24,10655,10755,10575,10710,34901,0.0108541764983483
2020-12-28,10765,10855,10630,10855,46298,0.0135387488328664
2020-12-29,10910,10970,10805,10925,89041,0.0064486411791802
2020-12-30,10925,10985,10900,10975,96233,0.0045766590389015
2021-01-04,11040,11040,10845,10995,111305,0.0018223234624146
2021-01-05,10915,11100,10800,11100,70624,0.009549795361528
2021-01-06,11130,11145,10885,10885,116525,-0.0193693693693693
2021-01-07,10965,11035,10855,10905,54145,0.0018373909049149
2021-01-08,11005,11249,10910,11250,131380,0.0316368638239339
2021-01-11,11269,11364,10865,11130,144121,-0.0106666666666667
2021-01-12,11065,11164,10865,11065,37526,-0.0058400718778077
2021-01-13,11140,11174,11075,11135,65769,0.0063262539539086
2021-01-14,11135,11224,11115,11130,60063,-0.0004490345756623
2021-01-15,11219,11289,11025,11065,40888,-0.0058400718778077
2021-01-18,10980,11105,10905,11005,38698,-0.0054225033890645
2021-01-19,11045,11115,10975,11040,27888,0.0031803725579282
2021-01-20,11025,11145,10995,11105,34387,0.0058876811594203
2021-01-21,11140,11174,11040,11095,37327,-0.0009004952723997
2021-01-22,11179,11529,11179,11385,117021,0.0261378999549346
2021-01-25,11384,11709,11349,11610,104674,0.0197628458498024
2021-01-26,11614,11634,11319,11400,194872,-0.0180878552971576
2021-01-27,11559,11939,11519,11940,171811,0.0473684210526315
2021-01-28,11699,12344,11669,11915,157521,-0.0020938023450586
2021-01-29,12089,12089,11639,11760,104530,-0.0130088124213176
2021-02-01,11789,12189,11614,12100,75329,0.0289115646258504
2021-02-02,12209,12454,12099,12324,48536,0.0185123966942148
2021-02-03,12399,12534,12344,12504,120199,0.0146056475170399
2021-02-04,12444,12449,12244,12349,61832,-0.0123960332693537
2021-02-05,12394,13029,12264,13029,156305,0.055065187464572
2021-02-08,13044,13349,13029,13209,108493,0.0138153350218743
2021-02-09,13174,13174,12744,12754,138183,-0.0344462109167991
2021-02-10,12869,12964,12564,12774,127423,0.0015681354869061
2021-02-15,12814,12814,12489,12519,135118,-0.0199624236730859
2021-02-16,12489,12979,12354,12839,151878,0.025561147056474
2021-02-17,12604,12629,12304,12354,170097,-0.0377755276890723
2021-02-18,12324,12324,12144,12294,85065,-0.0048567265662943
2021-02-19,12149,12249,11814,12015,116754,-0.0226939970717423
2021-02-22,11999,11999,11614,11655,90637,-0.0299625468164793
2021-02-23,11624,11654,11464,11500,54651,-0.0132990132990132
2021-02-24,11569,11754,11105,11120,94764,-0.0330434782608696
2021-02-25,11294,11374,11150,11375,51788,0.022931654676259
2021-02-26,11130,11184,10900,11010,60145,-0.032087912087912
2021-03-02,11229,11254,10895,10995,68977,-0.0013623978201634
2021-03-03,10995,11160,10980,11150,15594,0.0140973169622555
2021-03-04,11060,11060,10925,11035,43197,-0.0103139013452915
2021-03-05,10905,10905,10705,10850,63213,-0.0167648391481649
2021-03-08,10855,10915,10625,10625,29427,-0.02073732718894
2021-03-09,10600,10625,10395,10585,145374,-0.0037647058823528
2021-03-10,10600,10645,10405,10465,21008,-0.0113367973547472
2021-03-11,10490,10650,10490,10620,26180,0.0148112756808409
2021-03-12,10685,10820,10675,10785,26133,0.0155367231638419
2021-03-15,10840,10860,10715,10805,61981,0.0018544274455261
2021-03-16,10805,11045,10805,10965,24127,0.014807959278112
2021-03-17,11020,11070,10935,10980,23822,0.0013679890560875
2021-03-18,11060,11075,10975,10975,12563,-0.000455373406193
2021-03-19,10865,11055,10825,10985,13314,0.0009111617312071
2021-03-22,11040,11140,10945,11140,41059,0.0141101502048248
2021-03-23,11194,11264,11085,11130,31620,-0.0008976660682226
2021-03-24,11130,11184,11075,11160,23198,0.0026954177897573
2021-03-25,11140,11164,11045,11095,33799,-0.0058243727598565
2021-03-26,11095,11204,11070,11195,9458,0.0090130689499774
2021-03-29,11179,11179,10875,10890,67333,-0.0272443054935238
2021-03-30,10930,11135,10915,11135,16766,0.022497704315886
2021-03-31,11174,11314,11169,11195,47681,0.0053884149079479
2021-04-01,11259,11259,11105,11165,80156,-0.0026797677534613
2021-04-02,11160,11264,11160,11225,19371,0.0053739364084191
2021-04-05,11244,11264,11164,11255,23420,0.0026726057906458
2021-04-06,11274,11314,11249,11270,25332,0.0013327410039982
2021-04-07,11279,11324,11259,11290,19133,0.0017746228926354
2021-04-08,11294,11459,11254,11415,35700,0.0110717449069972
2021-04-09,11424,11744,11424,11695,61983,0.0245291283399036
2021-04-12,11704,11809,11634,11800,48558,0.0089781958101753
2021-04-13,11834,11849,11764,11810,45427,0.0008474576271186
2021-04-14,11884,11944,11834,11905,36244,0.0080440304826419
2021-04-15,11914,11979,11849,11980,42074,0.0062998740025199
2021-04-16,12059,12094,11994,12045,49151,0.0054257095158598
2021-04-19,12064,12109,11914,11915,51996,-0.0107928601079285
2021-04-20,11964,11964,11869,11915,31500,0.0
2021-04-21,11884,11884,11689,11695,24287,-0.0184641208560637
2021-04-22,11694,11759,11544,11560,28317,-0.0115433946130825
2021-04-23,11554,11634,11404,11585,16755,0.0021626297577854
2021-04-26,11664,11684,11559,11570,12449,-0.001294777729823
2021-04-27,11464,11554,11369,11390,23706,-0.0155574762316335
2021-04-28,11389,11389,11155,11160,13936,-0.0201931518876207
2021-04-29,11100,11250,11035,11070,18914,-0.0080645161290322
2021-04-30,11075,11075,10835,10900,22993,-0.015356820234869
2021-05-03,10875,10900,10575,10590,39382,-0.028440366972477007
2021-05-04,10575,10660,10350,10655,37588,0.0061378659112369
2021-05-06,10650,10660,10465,10620,17442,-0.0032848427968089
2021-05-07,10620,10905,10620,10835,44075,0.0202448210922787
2021-05-10,10870,11160,10820,11135,44596,0.0276880479926164
2021-05-11,11050,11050,10820,10890,33892,-0.0220026942074539
2021-05-12,10855,10855,10635,10685,62414,-0.0188246097337005
2021-05-13,10545,10710,10500,10615,14939,-0.0065512400561534
2021-05-14,10660,10660,10580,10585,9807,-0.0028261893546868
2021-05-17,10560,10650,10530,10635,21613,0.004723665564477999
2021-05-18,10695,10800,10665,10800,15206,0.0155148095909731
2021-05-20,10770,10790,10660,10760,33871,-0.0037037037037036
2021-05-21,10860,10940,10760,10885,33940,0.0116171003717471
2021-05-24,10825,10860,10730,10855,10244,-0.0027560863573725
2021-05-25,10860,10995,10860,10970,27208,0.0105941962229387
2021-05-26,11005,11030,10950,11005,38276,0.0031905195989061
2021-05-27,11010,11075,10845,10985,150101,-0.0018173557473875
2021-05-28,10950,11070,10950,11005,13208,0.001820664542558
2021-05-31,11035,11155,11035,11150,35782,0.0131758291685597
2021-06-01,11090,11205,11090,11170,28839,0.0017937219730941
2021-06-02,11130,11230,11070,11115,17700,-0.004923903312444
2021-06-03,11075,11240,11075,11210,14923,0.0085470085470085
2021-06-04,11150,11200,11100,11150,6910,-0.0053523639607493
2021-06-07,11150,11270,11115,11220,16291,0.0062780269058295
2021-06-08,11220,11335,11170,11190,18542,-0.0026737967914438
2021-06-09,11160,11370,11160,11255,35989,0.0058087578194816
2021-06-10,11255,11405,11175,11405,39870,0.0133274100399822
2021-06-11,11420,11485,11285,11315,32664,-0.0078912757562472
