Date,Open,High,Low,Close,Volume
2001-04-30,11900,19500,11900,18000,3412550
2001-05-31,18500,34500,17750,31600,11484450
2001-06-30,31600,32700,27200,29450,3749810
2001-07-31,29100,29300,22100,23100,1794670
2001-08-31,23400,26450,23200,24600,2280770
2001-09-30,26200,28000,21950,28000,1865770
2001-10-31,27800,29700,26450,28050,1242080
2001-11-30,28050,33200,27500,31400,1831910
2001-12-31,31100,33300,27400,28900,2145630
2002-01-31,28900,46300,28500,37900,3583505
2002-02-28,39000,42000,34050,39000,3325769
2002-03-31,39000,51900,37600,45000,4702639
2002-04-30,45600,47800,38750,39800,2683581
2002-05-31,39800,42250,37150,38000,1761358
2002-06-30,38300,42500,34800,36150,1362426
2002-07-31,36000,42450,34900,40000,1860917
2002-08-31,39500,43500,35250,41000,1392133
2002-09-30,41100,43600,39200,40000,1049305
2002-10-31,40500,41700,31900,36000,1432592
2002-11-30,35500,40500,34550,39300,1170482
2002-12-31,40300,43000,35500,37600,872062
2003-01-31,37000,37350,29900,32150,1816349
2003-02-28,32000,32250,25200,25500,2377420
2003-03-31,25100,27300,21900,25500,2955068
2003-04-30,25450,31300,23500,28800,3072848
2003-05-31,28400,33900,26900,31650,1975907
2003-06-30,31600,32400,29100,30850,1837268
2003-07-31,30600,34650,29950,33550,2599556
2003-08-31,34050,35500,28950,29050,2194109
2003-09-30,29100,30400,25150,25400,1882407
2003-10-31,25000,27950,24750,26850,1770573
2003-11-30,26700,33050,26700,31000,3430595
2003-12-31,30700,33300,29700,31100,1633848
2004-01-31,31100,31250,29050,30600,1820086
2004-02-29,30600,31350,29500,30600,1356831
2004-03-31,30900,33500,30400,32100,2997988
2004-04-30,32000,36900,31750,35350,1602888
2004-05-31,35850,36200,29200,30400,1570259
2004-06-30,30700,32950,27950,32950,1245500
2004-07-31,33100,34000,27900,28450,1262133
2004-08-31,27800,29000,26300,28900,1245216
2004-09-30,28650,33950,28000,30800,996811
2004-10-31,30400,32600,28100,28800,1102158
2004-11-30,29000,29500,26900,27100,1358364
2004-12-31,27400,29650,27300,27450,1470581
2005-01-31,27850,30950,27050,29800,1682077
2005-02-28,29800,33900,27500,33900,1284559
2005-03-31,33650,38000,32800,33100,1241896
2005-04-30,33700,35700,32150,32900,1900329
2005-05-31,32900,37100,32750,37100,1107662
2005-06-30,37500,46300,37150,41000,1641136
2005-07-31,41300,49550,39800,49100,1266870
2005-08-31,49200,56500,49200,53700,1338843
2005-09-30,54900,61900,51300,59900,1885157
2005-10-31,60000,61600,56300,57000,897859
2005-11-30,57000,62900,52400,59300,1717224
2005-12-31,59000,61000,54600,55000,983991
2006-01-31,54700,66600,54500,62000,932204
2006-02-28,61200,65000,58000,62500,637928
2006-03-31,62600,75000,61900,68000,839290
2006-04-30,68000,79000,64300,75300,1239026
2006-05-31,75700,83000,70000,70200,739391
2006-06-30,70200,81900,59000,81900,906239
2006-07-31,81900,82700,70000,73700,920883
2006-08-31,74000,77500,69500,73900,813749
2006-09-30,73400,79000,71200,74600,980492
2006-10-31,75500,90400,72000,87000,914349
2006-11-30,88700,109500,88600,103000,972444
2006-12-31,102000,136500,99900,123500,729458
2007-01-31,124500,130000,101000,113500,892222
2007-02-28,113000,121500,105500,114000,880137
2007-03-31,114000,125500,101000,116000,867076
2007-04-30,116000,138500,113500,124500,877781
2007-05-31,123500,151000,116500,144500,1366034
