Date,Open,High,Low,Close,Volume
1990-01-31,44000,45800,41000,42800,880390
1990-02-28,42500,45400,41300,43500,1063870
1990-03-31,421,440,406,438,2619820
1990-04-30,437,437,351,352,504530
1990-05-31,345,400,345,391,546270
1990-06-30,406,426,371,374,827020
1990-07-31,374,392,351,358,367230
1990-08-31,358,369,294,303,684720
1990-09-30,302,321,286,311,509280
1990-10-31,311,379,311,349,726150
1990-11-30,345,359,318,331,371420
1990-12-31,333,344,314,319,638560
1991-01-31,312,316,285,295,307680
1991-02-28,292,332,291,328,413620
1991-03-31,330,348,320,329,484130
1991-04-30,324,329,319,325,293520
1991-05-31,326,331,309,325,280550
1991-06-30,316,333,311,334,430370
1991-07-31,337,401,337,384,2377570
1991-08-31,380,400,365,379,977040
1991-09-30,377,389,371,387,484960
1991-10-31,388,389,325,325,1252590
1991-11-30,324,335,304,313,807870
1991-12-31,312,324,288,306,824530
1992-01-31,306,351,306,352,1659990
1992-02-29,361,373,302,305,570990
1992-03-31,304,328,293,313,1021680
1992-04-30,311,318,267,280,1060440
1992-05-31,281,292,247,252,707310
1992-06-30,249,287,249,271,1181870
1992-07-31,273,284,254,274,1248420
1992-08-31,273,312,252,313,1003170
1992-09-30,320,322,290,304,1074710
1992-10-31,303,339,297,318,1500240
1992-11-30,318,348,312,326,1307420
1992-12-31,326,341,308,331,1072290
1993-01-31,334,378,329,355,2118610
1993-02-28,341,354,313,313,479690
1993-03-31,313,349,302,346,657380
1993-04-30,345,425,341,400,4741150
1993-05-31,395,423,394,405,1547700
1993-06-30,410,421,386,393,2000700
1993-07-31,397,422,386,393,1360620
1993-08-31,390,418,364,383,1369850
1993-09-30,383,404,381,402,1667860
1993-10-31,401,441,395,440,4003870
1993-11-30,451,531,450,508,8931740
1993-12-31,513,639,505,589,9988430
1994-01-31,596,778,582,745,10004240
1994-02-28,745,819,653,745,6860880
1994-03-31,735,808,674,690,5123510
1994-04-30,684,854,648,854,5760460
1994-05-31,871,973,848,931,6185980
1994-06-30,928,951,857,877,3416680
1994-07-31,876,980,871,946,3232110
1994-08-31,945,1260,923,1261,6715960
1994-09-30,1292,1581,1292,1418,6813750
1994-10-31,1428,1597,1360,1431,3661900
1994-11-30,1462,1491,1229,1328,3614030
1994-12-31,1355,1355,1104,1145,3332560
1995-01-31,1163,1173,1001,1147,2794670
