Date,Open,High,Low,Close,Volume
1996-12-31,232872,232872,232872,232871,0.0
1997-01-31,232872,294583,232872,284103,11748690.0
1997-02-28,284104,440128,277117,419169,5164610.0
1997-03-31,423827,473894,363280,471565,3507020.0
1997-04-30,454100,508825,401704,414511,3043040.0
1997-05-31,395882,518140,394718,505331,4385200.0
1997-06-30,490195,618274,479716,529783,3431080.0
1997-07-31,523961,582179,523961,536769,1582900.0
1997-08-31,541427,558892,385403,385402,2287050.0
1997-09-30,385403,454100,314377,350471,1227060.0
1997-10-31,360951,384238,206091,232871,2241080.0
1997-11-30,227050,315541,227050,244515,4090280.0
1997-12-31,245680,265474,197941,250337,5314350.0
1998-01-31,236365,373759,228214,350471,11242980.0
1998-02-28,322527,365609,261981,326020,7228360.0
1998-03-31,326020,346979,231707,244515,3134040.0
1998-04-30,245680,271296,200852,228214,3880070.0
1998-05-31,224721,235349,169699,227917,3613260.0
1998-06-30,227917,396377,221724,386468,8591090.0
1998-07-31,340637,360456,229156,353023,8888450.0
1998-08-31,351785,371604,284896,371603,1761330.0
1998-09-30,360456,423009,331966,331966,6875170.0
1998-10-31,329489,365410,244020,319579,1602330.0
1998-11-30,313386,350478,283658,306496,6925240.0
1998-12-31,306497,481049,283132,419199,11831360.0
1999-01-31,412328,481049,313369,335359,38487790.0
1999-02-28,336734,346355,278321,313368,29533690.0
1999-03-31,316118,336734,302374,325738,50397850.0
1999-04-30,331924,406830,322303,333298,83136400.0
1999-05-31,336734,355060,244991,258306,38050180.0
1999-06-30,253868,327543,250317,272508,56568010.0
1999-07-31,275171,539691,264520,518387,272670560.0
1999-08-31,532590,674614,481106,665737,223672040.0
1999-09-30,683490,770480,580523,585848,163821510.0
1999-10-31,601826,603602,330206,354172,241316820.0
1999-11-30,366599,596741,355060,467185,259084960.0
1999-12-31,467185,519204,395537,473074,162725530.0
2000-01-31,484852,557481,408296,518222,257881590.0
2000-02-29,510370,516259,306222,351370,212096370.0
2000-03-31,403389,539815,366093,482888,230542800.0
2000-04-30,492704,514296,298370,345481,182265940.0
2000-05-31,333704,362167,252241,345481,170306740.0
2000-06-30,345481,468167,333704,431851,220941680.0
2000-07-31,437741,494667,310148,341555,139065920.0
2000-08-31,353333,454426,349407,398481,119692720.0
2000-09-30,401426,405352,268926,313092,140977960.0
2000-10-31,294444,319963,123078,137211,358492870.0
2000-11-30,140352,176667,128967,134266,319780580.0
2000-12-31,123667,142707,69293,79009,251017220.0
2001-01-31,76556,140352,76556,114833,550560520.0
2001-02-28,107963,112281,72139,73611,430746370.0
2001-03-31,74200,74789,57220,61931,1088859650.0
2001-04-30,62030,71354,47504,66446,1228860830.0
2001-05-31,67330,95400,65465,85192,1694666070.0
2001-06-30,85978,93830,53491,54864,1210181550.0
2001-07-31,54963,55356,20415,26990,1851427070.0
2001-08-31,27776,35824,15311,16292,3686898720.0
2001-09-30,17078,28954,15606,17372,5864062090.0
2001-10-31,18746,24341,17667,21887,4926780620.0
2001-11-30,24341,43480,22967,42105,7992485300.0
2001-12-31,42793,57907,36511,47503,4827324770.0
2002-01-31,49467,68998,40731,47896,4871582859.0
2002-02-28,50448,54570,27972,31701,3684527804.0
2002-03-31,33665,43774,27285,28266,3470187182.0
2002-04-30,29248,30131,15017,18746,2914896534.0
2002-05-31,17176,18059,11974,13544,3764474161.0
2002-06-30,12956,13250,3828,5103,6526212138.0
2002-07-31,5594,14919,5496,10011,19914296769.0
2002-08-31,10796,12857,9422,10501,14085711419.0
2002-09-30,10404,11680,7950,8342,6424856555.0
2002-10-31,8146,11778,5006,9324,13306871035.0
2002-11-30,8833,10698,7852,8538,12105582003.0
2002-12-31,8539,9520,5300,5496,8439937828.0
2003-01-31,5987,6870,4319,4612,4482381197.0
2003-02-28,4515,5398,3926,3925,3886584446.0
2003-03-31,3926,4122,2454,2650,2388140140.0
2003-04-30,2650,4960,2630,3230,296574628.0
2003-05-31,3300,4555,3150,3815,395666740.0
2003-06-30,3915,6750,3795,5790,606885965.0
2003-07-31,5710,10000,5710,7390,705459854.0
2003-08-31,7620,9890,7480,7970,535171915.0
2003-09-30,8100,9120,6520,6710,297163652.0
2003-10-31,6530,8170,6530,7530,309325933.0
2003-11-30,7720,8070,6060,6630,156133121.0
2003-12-31,6700,7040,5020,5600,119947130.0
2004-01-31,5740,9320,5560,8950,291855402.0
2004-02-29,8820,10150,7960,8970,242405696.0
2004-03-31,9170,12350,9150,12250,325946341.0
2004-04-30,12450,14300,10450,11900,240414569.0
2004-05-31,11850,13850,9100,11250,354562613.0
2004-06-30,11300,13100,10300,12650,258289965.0
2004-07-31,12800,12950,8820,9000,166255615.0
2004-08-31,8910,10750,8270,10450,156112544.0
2004-09-30,10450,11600,9710,10500,122979181.0
2004-10-31,10600,15150,10600,12700,286629900.0
2004-11-30,12800,13000,10050,10350,187822159.0
2004-12-31,10250,11950,10100,11650,134766618.0
2005-01-31,11800,13250,11350,13000,152874164.0
2005-02-28,13050,16350,12650,15050,174637271.0
2005-03-31,15150,15300,12500,13050,137104903.0
2005-04-30,13000,14200,11950,12100,92810105.0
2005-05-31,12250,15950,12050,15900,110792257.0
2005-06-30,15750,17750,15100,17000,104642945.0
2005-07-31,16900,24550,16700,23900,197494981.0
2005-08-31,23900,25550,20050,21400,178479355.0
2005-09-30,21850,25450,21150,23000,185984091.0
2005-10-31,23100,24150,19000,19050,221615673.0
2005-11-30,19200,24800,19200,21900,261337610.0
2005-12-31,21900,35300,21900,35300,316161717.0
2006-01-31,36100,39050,29600,37300,315046625.0
2006-02-28,36850,37250,28950,33250,223530295.0
2006-03-31,33750,33850,26200,28900,182114088.0
2006-04-30,29300,34550,29150,32950,137590870.0
2006-05-31,32600,34850,30100,32000,125165704.0
2006-06-30,31800,32300,26150,30750,166046804.0
2006-07-31,31300,32950,29900,32500,92569899.0
2006-08-31,32600,37150,32150,36800,109337580.0
2006-09-30,36950,40300,35700,37300,119150961.0
2006-10-31,37450,38150,33100,34200,113913223.0
2006-11-30,34300,36350,33050,35300,85370202.0
2006-12-31,35450,37500,34400,36450,63427383.0
2007-01-31,36900,37700,31000,31250,114247418.0
2007-02-28,31200,33100,30250,31150,106477303.0
2007-03-31,30850,33300,30850,32400,92447028.0
