Date,Open,High,Low,Close,Volume,Change
2015-08-25 00:00:00,8750,8770,6970,7240,1461920,
2015-08-26 00:00:00,7350,7600,7030,7180,618018,-0.0082872928176795
2015-08-27 00:00:00,7360,7450,6960,7060,332873,-0.0167130919220055
2015-08-28 00:00:00,7100,7220,7010,7130,164144,0.0099150141643058
2015-08-31 00:00:00,7110,7150,6760,6800,156822,-0.0462833099579242
2015-09-01 00:00:00,6750,6850,6440,6620,155741,-0.0264705882352941
2015-09-02 00:00:00,6320,7240,6320,6960,830269,0.0513595166163141
2015-09-03 00:00:00,6960,7060,6740,6800,242179,-0.0229885057471264
2015-09-04 00:00:00,6910,8250,6800,7130,2232325,0.0485294117647059
2015-09-07 00:00:00,7200,9260,7160,9260,3936065,0.2987377279102383
2015-09-08 00:00:00,10000,12000,9570,10250,5395468,0.1069114470842331
2015-09-09 00:00:00,10550,10750,9800,10500,1823924,0.024390243902439
2015-09-10 00:00:00,10250,11600,10100,11150,1425492,0.0619047619047619
2015-09-11 00:00:00,10700,10900,10300,10300,745498,-0.0762331838565022
2015-09-14 00:00:00,10050,10300,9330,9510,869218,-0.0766990291262136
2015-09-15 00:00:00,9510,9840,9310,9620,479468,0.0115667718191376
2015-09-16 00:00:00,9750,9800,9460,9740,451353,0.0124740124740123
2015-09-17 00:00:00,9740,10450,8860,9030,962919,-0.0728952772073922
2015-09-18 00:00:00,9100,10250,8810,9550,817147,0.0575858250276855
2015-09-21 00:00:00,9810,12400,9630,12400,2277588,0.2984293193717278
2015-09-22 00:00:00,13450,15850,13050,14000,3952654,0.1290322580645162
2015-09-23 00:00:00,13700,14150,12450,13300,1005911,-0.05
2015-09-24 00:00:00,13300,13600,12700,13250,653023,-0.0037593984962406
2015-09-25 00:00:00,12900,13300,12550,12850,355428,-0.030188679245283
2015-09-30 00:00:00,12600,12800,11800,12550,341095,-0.0233463035019455
2015-10-01 00:00:00,12700,13550,12400,13250,1081580,0.0557768924302788
2015-10-02 00:00:00,13500,13600,12800,13300,390722,0.0037735849056603
2015-10-05 00:00:00,13300,13300,12600,12600,248354,-0.0526315789473684
2015-10-06 00:00:00,12800,13100,12400,12600,215404,0.0
2015-10-07 00:00:00,12950,14800,12950,13200,1196761,0.0476190476190476
2015-10-08 00:00:00,13250,13500,12050,12150,454035,-0.0795454545454545
2015-10-12 00:00:00,12300,12600,11800,11850,190881,-0.0246913580246913
2015-10-13 00:00:00,12000,12050,11350,11850,315821,0.0
2015-10-14 00:00:00,11850,12200,11500,11550,145035,-0.0253164556962025
2015-10-15 00:00:00,11450,12700,11200,11900,266207,0.0303030303030302
2015-10-16 00:00:00,12000,12500,11700,11750,157878,-0.0126050420168066
2015-10-19 00:00:00,11900,11950,11550,11750,80383,0.0
2015-10-20 00:00:00,11750,12400,11600,11950,172482,0.0170212765957447
2015-10-21 00:00:00,11600,11800,11250,11250,233070,-0.0585774058577406
2015-10-22 00:00:00,11800,12100,11200,11200,199256,-0.0044444444444444
2015-10-23 00:00:00,11350,11800,10950,11050,130165,-0.013392857142857002
2015-10-26 00:00:00,11350,12450,11350,11950,275075,0.0814479638009049
2015-10-27 00:00:00,11950,12650,11600,11950,302149,0.0
2015-10-28 00:00:00,11750,11900,11450,11500,132406,-0.0376569037656904
2015-10-29 00:00:00,11450,11650,11100,11200,101806,-0.026086956521739
2015-10-30 00:00:00,11100,11300,10400,10600,165626,-0.0535714285714286
2015-11-02 00:00:00,10550,10850,10050,10700,87068,0.009433962264151
2015-11-03 00:00:00,10800,11050,10550,10750,50719,0.0046728971962617
2015-11-04 00:00:00,10700,11100,10350,10900,58735,0.013953488372093002
2015-11-05 00:00:00,11400,11400,10700,11100,59816,0.0183486238532109
2015-11-06 00:00:00,10900,10950,10550,10600,67231,-0.045045045045045
2015-11-09 00:00:00,10600,10750,10000,10300,78386,-0.0283018867924528
2015-11-10 00:00:00,10000,10300,9700,9740,86257,-0.0543689320388349
2015-11-11 00:00:00,9610,10200,9610,9980,57593,0.0246406570841888
2015-11-12 00:00:00,9910,10100,9820,9850,41484,-0.0130260521042083
2015-11-13 00:00:00,9670,9880,9510,9750,35451,-0.0101522842639594
2015-11-16 00:00:00,9490,9680,9000,9000,49034,-0.0769230769230768
2015-11-17 00:00:00,9000,9250,8950,8980,61038,-0.0022222222222222
2015-11-18 00:00:00,9250,9250,8910,9190,40092,0.0233853006681514
2015-11-19 00:00:00,9190,9630,9150,9580,31714,0.0424374319912947
2015-11-20 00:00:00,9500,10600,9500,9810,132067,0.0240083507306889
2015-11-23 00:00:00,10050,10200,9800,9800,52625,-0.001019367991845
2015-11-24 00:00:00,9820,9980,9800,9800,42521,0.0
2015-11-25 00:00:00,9900,10650,9900,10250,144246,0.0459183673469387
2015-11-26 00:00:00,10300,10400,10000,10300,53660,0.0048780487804878
2015-11-27 00:00:00,10350,10350,10150,10250,22729,-0.0048543689320388
2015-11-30 00:00:00,10250,10300,10000,10150,40218,-0.0097560975609756
2015-12-01 00:00:00,10150,10600,10150,10350,58774,0.0197044334975369
2015-12-02 00:00:00,10350,10400,10050,10050,31073,-0.0289855072463768
2015-12-03 00:00:00,10000,10200,9800,10150,26017,0.0099502487562188
2015-12-04 00:00:00,10000,10000,9500,9910,25354,-0.0236453201970443
2015-12-07 00:00:00,10050,10100,9800,9980,25223,0.0070635721493441
2015-12-08 00:00:00,9940,10400,9850,9850,65504,-0.0130260521042083
2015-12-09 00:00:00,9950,10000,9530,9530,28576,-0.03248730964467
2015-12-10 00:00:00,9520,9620,9030,9230,36374,-0.0314795383001049
2015-12-11 00:00:00,9080,9220,8990,9150,42326,-0.008667388949079001
2015-12-14 00:00:00,8950,8950,8220,8340,43486,-0.0885245901639344
2015-12-15 00:00:00,8100,8310,8100,8160,21521,-0.0215827338129496
2015-12-16 00:00:00,8170,8470,8170,8370,17571,0.0257352941176469
2015-12-17 00:00:00,8520,8630,8380,8450,14029,0.0095579450418159
2015-12-18 00:00:00,8500,8900,8400,8890,27710,0.0520710059171598
2015-12-21 00:00:00,8880,8880,8600,8790,8052,-0.0112485939257592
2015-12-22 00:00:00,8850,8880,8560,8720,33082,-0.0079635949943117
2015-12-23 00:00:00,8760,9210,8500,8910,27535,0.021788990825688
2015-12-24 00:00:00,9000,9090,8700,8710,8798,-0.0224466891133557
2015-12-28 00:00:00,8550,8960,8550,8660,29410,-0.0057405281285878
2015-12-29 00:00:00,8650,8860,8550,8800,32273,0.0161662817551964
2015-12-30 00:00:00,8860,8940,8700,8850,35616,0.0056818181818181
2016-01-04 00:00:00,8890,8890,8720,8840,10958,-0.0011299435028248
2016-01-05 00:00:00,8600,9140,8600,9100,34504,0.0294117647058822
2016-01-06 00:00:00,9050,9900,8980,9730,63964,0.0692307692307692
2016-01-07 00:00:00,10400,11400,9700,9700,483574,-0.0030832476875641
2016-01-08 00:00:00,9470,9800,9280,9750,54313,0.0051546391752577
2016-01-11 00:00:00,9750,9750,9420,9450,40910,-0.0307692307692307
2016-01-12 00:00:00,9480,9790,9400,9450,28047,0.0
2016-01-13 00:00:00,9630,9700,9410,9690,23748,0.0253968253968253
2016-01-14 00:00:00,9470,10550,9420,10000,208685,0.0319917440660475
2016-01-15 00:00:00,10300,10300,9660,9660,47193,-0.034
2016-01-18 00:00:00,9660,10050,9600,9830,27298,0.0175983436853002
2016-01-19 00:00:00,9830,9980,9670,9750,23717,-0.0081383519837232
2016-01-20 00:00:00,9750,9920,9450,9460,40858,-0.0297435897435897
2016-01-21 00:00:00,9500,9640,9450,9510,17406,0.0052854122621563
2016-01-22 00:00:00,9510,9660,9400,9470,23012,-0.0042060988433227
2016-01-25 00:00:00,9510,9510,9320,9440,21074,-0.0031678986272439
2016-01-26 00:00:00,9440,9540,9330,9340,11705,-0.010593220338983
2016-01-27 00:00:00,9450,9500,9100,9100,18073,-0.025695931477516004
2016-01-28 00:00:00,9100,9290,8960,9200,18768,0.0109890109890109
2016-01-29 00:00:00,9200,9210,9050,9160,33200,-0.0043478260869564
2016-02-01 00:00:00,9180,9230,9080,9090,25130,-0.0076419213973799
2016-02-02 00:00:00,9100,9100,9000,9010,22893,-0.0088008800880088
