Date,Open,High,Low,Close,Volume,Change
2011-10-26,16431,16777,16427,16784,15262,
2011-10-27,16764,16992,16764,16919,11498,0.0080433746425165
2011-10-28,17005,17201,16809,16923,360,0.0002364205922336
2011-10-31,16916,17033,16752,16818,233,-0.0062045736571529
2011-11-01,16722,16849,16722,16854,117,0.0021405636817695
2011-11-02,16303,16897,16303,16902,445,0.0028479886080454
2011-11-03,16817,16817,16817,16822,5,-0.0047331676724647
2011-11-04,16849,17188,16849,17193,20088,0.0220544525026751
2011-11-07,17223,17223,17153,17156,306,-0.0021520386203687
2011-11-08,17223,17267,17223,17273,165,0.00681977150851
2011-11-09,17333,17333,17244,17251,260,-0.0012736641000404
2011-11-10,16805,16805,16571,16606,588,-0.0373891368616312
2011-11-11,16699,16857,16699,16863,51,0.015476333855233
2011-11-14,17271,17288,17179,17294,294,0.0255589159698748
2011-11-15,17196,17196,17094,17145,352,-0.0086157048687406
2011-11-16,17307,17394,17085,17122,1011,-0.0013414989792942
2011-11-17,16920,17143,16892,17149,19,0.0015769185842775
2011-11-18,16812,16841,16748,16844,266,-0.0177852936031255
2011-11-21,16734,16734,16647,16669,23,-0.010389456186179
2011-11-22,16717,16717,16658,16690,109,0.0012598236246925
2011-11-23,16571,16571,16422,16466,103,-0.0134212103055721
2011-11-24,16496,16496,16496,16500,24,0.0020648609255435
2011-11-25,16413,16413,16151,16158,151,-0.0207272727272727
2011-11-28,16373,16373,16307,16311,2,0.0094689936873375
2011-11-29,16566,16668,16566,16674,52,0.0222549199926429
2011-11-30,16708,16708,16708,16711,2450,0.0022190236296029
2011-12-01,17170,17170,16972,16977,4,0.0159176590269882
2011-12-02,16945,17077,16945,17047,46923,0.004123225540437
2011-12-05,17129,17129,16972,16977,14,-0.0041062943626444
2011-12-06,16832,16832,16832,16835,10,-0.0083642575248865
2011-12-07,16940,16987,16940,16996,200,0.0095634095634096
2011-12-08,16940,16940,16940,16946,100,-0.0029418686749823
2011-12-09,0,0,0,16690,0,-0.0151068098666351
2011-12-12,16739,16832,16739,16835,200,0.0086878370281606
2011-12-13,16634,16634,16514,16518,119,-0.0188298188298188
2011-12-14,16500,16500,16431,16434,7,-0.0050853614239011
2011-12-15,16355,16355,16165,16218,29,-0.013143483023001
2011-12-16,16319,16323,16184,16329,146,0.0068442471328153
2011-12-19,16112,16112,15411,15743,231,-0.0358870720803478
2011-12-20,15786,15861,15772,15850,121,0.0067966715365559
2011-12-21,16117,16249,16100,16254,140,0.0254889589905362
2011-12-22,16196,16219,16196,16218,130,-0.0022148394241418
2011-12-23,16299,16456,16299,16408,315,0.0117153779750893
2011-12-26,16413,16413,16323,16329,212,-0.0048147245246221
2011-12-27,16373,16373,16073,16196,9361,-0.0081450180660175
2011-12-28,16258,16258,16184,16187,20,-0.0005556927636453
2011-12-29,16117,16214,16117,16218,51,0.001915117069253
