Date,Open,High,Low,Close,Volume,Change
2020-07-15 00:00:00,2010,2020,2005,2010,544619,
2020-07-16 00:00:00,2015,2025,2015,2015,214934,0.0024875621890547
2020-07-17 00:00:00,2015,2020,2015,2020,109115,0.0024813895781636
2020-07-20 00:00:00,2025,2030,2020,2025,44866,0.0024752475247524
2020-07-21 00:00:00,2025,2025,2020,2025,22436,0.0
2020-07-22 00:00:00,2020,2025,2020,2020,47245,-0.0024691358024691
2020-07-23 00:00:00,2020,2025,2020,2020,22704,0.0
2020-07-24 00:00:00,2020,2025,2020,2020,965,0.0
2020-07-27 00:00:00,2020,2025,2020,2020,5415,0.0
2020-07-28 00:00:00,2020,2035,2005,2020,113803,0.0
2020-07-29 00:00:00,2010,2025,2010,2025,1036,0.0024752475247524
2020-07-30 00:00:00,2025,2025,2015,2020,31560,-0.0024691358024691
2020-07-31 00:00:00,2020,2020,2015,2015,40753,-0.0024752475247524
2020-08-03 00:00:00,2020,2025,2015,2025,70372,0.0049627791563275
2020-08-04 00:00:00,2030,2030,2020,2020,25323,-0.0024691358024691
2020-08-05 00:00:00,2025,2025,2025,2025,52850,0.0024752475247524
2020-08-06 00:00:00,2025,2030,2025,2025,6265,0.0
2020-08-07 00:00:00,2025,2030,2020,2025,8254,0.0
2020-08-10 00:00:00,2030,2030,2025,2025,14506,0.0
2020-08-11 00:00:00,2025,2025,2020,2025,5211,0.0
2020-08-12 00:00:00,2025,2030,2025,2025,1319,0.0
2020-08-13 00:00:00,2030,2030,2030,2030,42193,0.0024691358024691
2020-08-14 00:00:00,2030,2040,2030,2035,34582,0.0024630541871921
2020-08-18 00:00:00,2035,2035,2030,2030,18374,-0.0024570024570024
2020-08-19 00:00:00,2030,2035,2030,2030,16915,0.0
2020-08-20 00:00:00,2025,2030,2025,2030,38146,0.0
2020-08-21 00:00:00,2030,2030,2030,2030,29,0.0
2020-08-24 00:00:00,2025,2025,2025,2025,8591,-0.0024630541871921
2020-08-25 00:00:00,2025,2025,2020,2025,5871,0.0
2020-08-26 00:00:00,2020,2030,2020,2030,1820,0.0024691358024691
2020-08-27 00:00:00,2030,2030,2020,2020,16627,-0.0049261083743842
2020-08-28 00:00:00,2020,2030,2020,2020,5,0.0
2020-08-31 00:00:00,2025,2025,2020,2025,7926,0.0024752475247524
2020-09-01 00:00:00,2025,2030,2025,2030,2,0.0024691358024691
2020-09-02 00:00:00,2030,2030,2030,2030,0,0.0
2020-09-03 00:00:00,2030,2050,2030,2050,1872,0.0098522167487684
2020-09-04 00:00:00,2045,2045,2020,2045,369,-0.0024390243902439
2020-09-07 00:00:00,2045,2045,2045,2045,20,0.0
2020-09-08 00:00:00,2045,2045,2045,2045,0,0.0
2020-09-09 00:00:00,2050,2050,2050,2050,1,0.0024449877750611
2020-09-10 00:00:00,2040,2040,2030,2030,8,-0.0097560975609756
2020-09-11 00:00:00,2050,2050,2030,2050,143,0.0098522167487684
2020-09-14 00:00:00,2035,2050,2035,2050,12,0.0
2020-09-15 00:00:00,2040,2040,2030,2030,6493,-0.0097560975609756
2020-09-16 00:00:00,2050,2050,2030,2030,9170,0.0
2020-09-17 00:00:00,2025,2050,2020,2020,20087,-0.0049261083743842
2020-09-18 00:00:00,2045,2045,2045,2045,2,0.0123762376237623
2020-09-21 00:00:00,2050,2050,2020,2020,46805,-0.0122249388753056
2020-09-22 00:00:00,2040,2040,2020,2020,38151,0.0
2020-09-23 00:00:00,2035,2035,2015,2020,7021,0.0
2020-09-24 00:00:00,2035,2130,2020,2040,115646,0.0099009900990099
2020-09-25 00:00:00,2045,2050,2035,2050,7906,0.0049019607843137
2020-09-28 00:00:00,2045,2050,2040,2050,6000,0.0
2020-09-29 00:00:00,2030,2055,2030,2050,10082,0.0
2020-10-05 00:00:00,2030,2045,2030,2045,5256,-0.0024390243902439
2020-10-06 00:00:00,2045,2045,2045,2045,10,0.0
2020-10-07 00:00:00,2025,2045,2025,2045,67,0.0
2020-10-08 00:00:00,2025,2045,2025,2045,122,0.0
2020-10-12 00:00:00,2045,2045,2040,2045,250,0.0
2020-10-13 00:00:00,2050,2050,2030,2030,313,-0.0073349633251833
2020-10-14 00:00:00,2035,2120,2035,2050,102094,0.0098522167487684
2020-10-15 00:00:00,2050,2080,2035,2055,11382,0.0024390243902439
2020-10-16 00:00:00,2045,2075,2040,2075,5120,0.0097323600973235
2020-10-19 00:00:00,2055,2080,2055,2055,1128,-0.0096385542168674
2020-10-20 00:00:00,2075,2075,2065,2065,504,0.0048661800486617
2020-10-21 00:00:00,2075,2075,2075,2075,2,0.0048426150121065
2020-10-22 00:00:00,2070,2070,2050,2065,2000,-0.0048192771084337
2020-10-23 00:00:00,2070,2070,2070,2070,1,0.0024213075060532
2020-10-26 00:00:00,2070,2070,2035,2070,2630,0.0
2020-10-27 00:00:00,2070,2070,2070,2070,1,0.0
2020-10-28 00:00:00,2065,2065,2065,2065,1,-0.002415458937198
2020-10-29 00:00:00,2050,2050,2050,2050,3350,-0.0072639225181597
2020-10-30 00:00:00,2065,2080,2060,2075,17568,0.0121951219512195
2020-11-02 00:00:00,2050,2080,2050,2050,1329,-0.0120481927710843
2020-11-03 00:00:00,2050,2080,2050,2065,1033,0.0073170731707317
2020-11-04 00:00:00,2080,2080,2080,2080,976,0.0072639225181598
2020-11-05 00:00:00,2055,2080,2050,2080,3240,0.0
2020-11-06 00:00:00,2060,2060,2060,2060,400,-0.0096153846153845
2020-11-09 00:00:00,2070,2070,2050,2050,200,-0.0048543689320388
2020-11-10 00:00:00,2080,2080,2055,2055,3650,0.0024390243902439
2020-11-11 00:00:00,2050,2080,2050,2075,2318,0.0097323600973235
2020-11-12 00:00:00,2080,2090,2080,2080,2502,0.0024096385542169
2020-11-13 00:00:00,2080,2095,2075,2085,1139,0.0024038461538462
2020-11-16 00:00:00,2075,2075,2060,2060,4126,-0.0119904076738609
2020-11-17 00:00:00,2055,2070,2055,2070,1001,0.0048543689320388
2020-11-18 00:00:00,2070,2070,2070,2070,0,0.0
2020-11-19 00:00:00,2070,2075,2070,2070,1800,0.0
2020-11-20 00:00:00,2075,2095,2070,2085,4496,0.0072463768115942
2020-11-23 00:00:00,2085,2085,2065,2085,4406,0.0
2020-11-24 00:00:00,2085,2085,2085,2085,200,0.0
2020-11-25 00:00:00,2090,2100,2085,2095,4037,0.0047961630695443
2020-11-26 00:00:00,2085,2090,2085,2090,131,-0.0023866348448687
2020-11-27 00:00:00,2095,2095,2070,2095,14187,0.0023923444976077
2020-11-30 00:00:00,2095,2100,2070,2095,6102,0.0
2020-12-01 00:00:00,2095,2095,2095,2095,10,0.0
2020-12-02 00:00:00,2095,2095,2075,2080,1167,-0.0071599045346062
2020-12-03 00:00:00,2075,2100,2075,2090,137,0.0048076923076922
2020-12-04 00:00:00,2095,2095,2080,2090,16731,0.0
2020-12-07 00:00:00,2095,2095,2070,2070,3055,-0.0095693779904306
2020-12-08 00:00:00,2095,2095,2070,2095,14,0.0120772946859903
2020-12-09 00:00:00,2090,2090,2090,2090,2000,-0.0023866348448687
2020-12-10 00:00:00,2090,2095,2090,2090,10002,0.0
2020-12-11 00:00:00,2090,2095,2090,2095,2014,0.0023923444976077
2020-12-14 00:00:00,2095,2095,2085,2095,1523,0.0
2020-12-15 00:00:00,2095,2095,2095,2095,1,0.0
2020-12-16 00:00:00,2070,2095,2070,2095,23556,0.0
2020-12-17 00:00:00,2110,2110,2095,2095,1949,0.0
2020-12-18 00:00:00,2090,2095,2090,2090,21003,-0.0023866348448687
2020-12-21 00:00:00,2075,2095,2075,2090,4316,0.0
2020-12-22 00:00:00,2095,2095,2090,2090,32202,0.0
2020-12-23 00:00:00,2110,2110,2090,2090,32662,0.0
2020-12-24 00:00:00,2095,2095,2095,2095,202,0.0023923444976077
2020-12-28 00:00:00,2095,2095,2095,2095,1501,0.0
2020-12-29 00:00:00,2095,2100,2085,2100,72159,0.0023866348448686
2020-12-30 00:00:00,2100,2105,2080,2095,44186,-0.0023809523809523
2021-01-04 00:00:00,2105,2115,2105,2110,643,0.0071599045346062
2021-01-05 00:00:00,2110,2120,2095,2115,998,0.0023696682464455
2021-01-06 00:00:00,2085,2100,2070,2100,46355,-0.0070921985815602
2021-01-07 00:00:00,2125,2125,2090,2110,7463,0.0047619047619047
2021-01-08 00:00:00,2085,2115,2085,2090,558,-0.0094786729857819
2021-01-11 00:00:00,2085,2110,2085,2090,1641,0.0
2021-01-12 00:00:00,2075,2125,2075,2115,73,0.0119617224880381
2021-01-13 00:00:00,2140,2145,2095,2120,3327,0.0023640661938533
2021-01-14 00:00:00,2120,2120,2085,2120,805,0.0
2021-01-15 00:00:00,2115,2115,2060,2085,23109,-0.0165094339622641
2021-01-18 00:00:00,2085,2085,2085,2085,408,0.0
2021-01-19 00:00:00,2080,2115,2080,2110,16,0.0119904076738608
2021-01-20 00:00:00,2080,2110,2080,2105,7,-0.0023696682464454
2021-01-21 00:00:00,2105,2105,2100,2100,2,-0.002375296912114
2021-01-22 00:00:00,2100,2100,2095,2100,3,0.0
2021-01-25 00:00:00,2075,2100,2075,2095,3518,-0.0023809523809523
2021-01-26 00:00:00,2095,2095,2080,2080,938,-0.0071599045346062
2021-01-27 00:00:00,2100,2100,2100,2100,2,0.0096153846153845
2021-01-28 00:00:00,2100,2115,2080,2105,2015,0.0023809523809523
2021-01-29 00:00:00,2115,2115,2075,2080,19038,-0.0118764845605701
2021-02-01 00:00:00,2095,2110,2065,2100,5911,0.0096153846153845
2021-02-02 00:00:00,2110,2110,2110,2110,311,0.0047619047619047
2021-02-03 00:00:00,2110,2125,2110,2125,4047,0.0071090047393365
2021-02-04 00:00:00,2120,2140,2085,2130,4658,0.0023529411764706
2021-02-05 00:00:00,2120,2120,2120,2120,1,-0.0046948356807511
2021-02-08 00:00:00,2115,2115,2115,2115,97,-0.0023584905660377
2021-02-09 00:00:00,2095,2110,2090,2110,505,-0.0023640661938534
2021-02-10 00:00:00,2115,2115,2085,2100,2145,-0.004739336492891
2021-02-15 00:00:00,2100,2100,2085,2100,4881,0.0
2021-02-16 00:00:00,2085,2115,2085,2115,51,0.0071428571428571
2021-02-17 00:00:00,2115,2115,2105,2105,1274,-0.0047281323877068
2021-02-18 00:00:00,2085,2100,2085,2100,20396,-0.002375296912114
2021-02-19 00:00:00,2110,2110,2100,2100,1954,0.0
2021-02-22 00:00:00,2100,2110,2100,2110,1100,0.0047619047619047
2021-02-23 00:00:00,2105,2115,2105,2110,11502,0.0
2021-02-24 00:00:00,2080,2110,2080,2110,124,0.0
2021-02-25 00:00:00,2110,2110,2110,2110,1,0.0
2021-02-26 00:00:00,2105,2105,2080,2105,1004,-0.0023696682464454
2021-03-02 00:00:00,2105,2105,2105,2105,51,0.0
2021-03-03 00:00:00,2095,2095,2095,2095,0,-0.004750593824227999
2021-03-04 00:00:00,2095,2095,2095,2095,0,0.0
2021-03-05 00:00:00,2090,2090,2090,2090,0,-0.0023866348448687
2021-03-08 00:00:00,2085,2085,2075,2085,12415,-0.0023923444976076
2021-03-09 00:00:00,2090,2090,2075,2090,597,0.0023980815347721
2021-03-10 00:00:00,2090,2090,2090,2090,0,0.0
2021-03-11 00:00:00,2090,2090,2090,2090,1,0.0
2021-03-12 00:00:00,2090,2090,2090,2090,2271,0.0
2021-03-15 00:00:00,2090,2090,2090,2090,1,0.0
2021-03-16 00:00:00,2080,2090,2080,2090,52,0.0
2021-03-17 00:00:00,2090,2095,2090,2095,1001,0.0023923444976077
2021-03-18 00:00:00,2100,2100,2100,2100,1,0.0023866348448686
2021-03-19 00:00:00,2100,2100,2095,2095,5504,-0.0023809523809523
2021-03-22 00:00:00,2100,2100,2090,2100,23,0.0023866348448686
2021-03-23 00:00:00,2100,2100,2090,2100,5005,0.0
2021-03-24 00:00:00,2100,2100,2090,2090,969,-0.0047619047619047
2021-03-25 00:00:00,2095,2095,2095,2095,102,0.0023923444976077
2021-03-26 00:00:00,2085,2100,2085,2100,11,0.0023866348448686
